G_ID,TEAM,TB_SC,WLS,cluster_team,hit_f1,hit_f2,hit_f3,pit_f1,pit_f2,pit_f3,pit_f4
20160401HHLG0,HH,T,L,0,3.2466494456533863,-0.6724418020830413,0.3816914918029785,3.257575334261165,1.9220547809296848,-0.4877034067961226,0.5703722517819678
20160402HHLG0,HH,T,L,0,1.9166245672332745,-1.7033136653155971,0.501446814941403,-0.10963373812452372,2.6757998496473787,-1.3524356482374011,0.9904020239965128
20160408HHNC0,HH,T,L,0,-0.015080706297039285,0.896037435912175,-0.5764701216240988,-0.05981925102709209,4.637674165394569,-0.5270720547649953,0.122952772931887
20160409HHNC0,HH,T,L,0,0.6730436553500256,0.7260394345872329,-1.3060659257621292,-0.5564775270894612,3.4129191797839336,0.15887464586640834,1.391084284577936
20160410HHNC0,HH,T,W,0,1.1628809075590667,0.29185598764146004,-0.6172899851904244,0.5337188348291065,3.82619508927603,0.13926597606766533,-1.1264662882399767
20160419HHLT0,HH,T,L,0,2.100080355420168,-0.3338987939293638,-0.08490643401503034,-1.7524256200444586,3.188074019694851,1.1834697297597427,-0.8367391319178774
20160420HHLT0,HH,T,L,0,2.0807184693185268,-0.12556165990510293,-0.04833567664658714,-2.3836324004868734,2.775679103708157,0.7588858183607982,0.606168733718999
20160421HHLT0,HH,T,W,0,1.68703669116095,-0.9152328349332032,1.2037029087607418,-2.1901463327177333,2.675319303424365,0.33677837435551694,-0.4626550142280536
20160422HHOB0,HH,T,L,0,1.7941792860892831,-0.7271998062352647,-0.3142204550028283,-2.2334826947201134,2.186649114591511,0.33504472953442666,0.3826002572495347
20160423HHOB0,HH,T,L,0,2.0540843585014907,-0.2688812977302397,-0.7924702404438836,-2.0556109674044887,2.223047765021729,0.4629091796376992,-1.0183828565496909
20160424HHOB0,HH,T,L,0,2.2824464969424363,0.04306451785831407,-0.6824200449794837,-2.037973061549869,2.7066194103057684,0.2493897162955497,-1.1926797218739649
20160503HHSK0,HH,T,W,0,1.7640073019705416,-0.4246884154064496,0.2811376660305309,-1.2365022146818094,2.5371592028813232,0.025786645254464082,-1.122247968532537
20160504HHSK0,HH,T,L,0,1.7775088302790556,-0.5275443224659079,-0.2191275424146375,-1.4359471432160391,2.6862332860539917,0.03704518785001922,-0.2777960244653625
20160505HHSK0,HH,T,L,0,1.53694441398221,-0.3556161060503388,1.0237861694329342,-1.8763522488148177,2.225661673220348,0.44406585633848206,2.8280631589222383
20160506HHKT0,HH,T,L,0,1.58080137073537,-0.13721074388483973,-0.1807869669202592,-2.1149653657563965,2.0559081264134207,0.5673171178485339,0.9493071780558708
20160507HHKT0,HH,T,L,0,1.3582090334346095,-0.2424313859751071,1.20469967494305,-2.505643824303056,1.7236627481524556,0.05455997336552485,2.9884989494459595
20160508HHKT0,HH,T,L,0,1.5130599915536749,-0.21112930300264732,-0.7839629432526665,-2.614860010034114,1.6023991003988154,-0.03535586837579855,-0.14383993359060726
20160513HHHT0,HH,T,L,0,1.6846904454483078,-0.1592072312624438,-0.8354619396648123,-2.6422965706004478,1.9511494943843155,-0.2947660482477659,-1.1690723446729163
20160514HHHT0,HH,T,L,0,1.9020491119105485,0.01975140589029599,-1.4156582511709748,-2.6513672824083927,1.7892595859794154,-0.24766650656403294,0.3034160394428992
20160515HHHT0,HH,T,L,0,1.7037917514544003,-0.35088918918924183,1.3800434860845523,-2.737921116927688,1.950864634056408,-0.15016909198644995,0.30142758555437715
20160517HHSS0,HH,T,L,0,1.699631187341212,-0.16061859402139614,-0.08272371596021559,-2.6593752296130306,1.9432610471242533,-0.2382745780859113,-0.7243811843200416
20160518HHSS0,HH,T,L,0,1.8617396849554972,-0.1455180584437317,-0.8724300208603879,-2.8212281403451334,1.9467315816075417,-0.12828296570131942,1.71794884629747
20160519HHSS0,HH,T,W,0,1.6305256762394604,0.025635944650847238,1.62594828864856,-2.7785743090972077,1.7488741796761145,-0.028962331657558082,-0.35384554566292914
20160524HHWO0,HH,T,L,0,1.3317557462168843,0.16124372354212113,-1.0739271038036782,-2.6297126165272817,1.476628748112705,-0.1087922580663083,-1.6229628269662202
20160525HHWO0,HH,T,L,0,1.1485514535614372,0.2176482304265089,1.2680744866739864,-2.7209331530941108,1.3564986057570132,-0.14188247889892738,0.547492040209186
20160526HHWO0,HH,T,W,0,1.1048590060365402,0.0016841130734995848,0.3956245609153529,-2.639528810686078,1.4575858890258055,-0.24712803095354174,-0.2756708154276989
20160603HHSS0,HH,T,W,0,0.7764781197795232,-0.08083326496087741,-0.39823905953502814,-2.0906483586019604,1.2836491009644186,-0.16370840329137226,-1.3778623952394298
20160604HHSS0,HH,T,W,0,0.7096977917318015,-0.03785970596596503,0.558805167112098,-2.14482570146317,1.2991738237234791,-0.0724805273132172,-0.08332605981427611
20160605HHSS0,HH,T,W,0,0.7637182456431171,-0.14810025828194134,-0.06274185788733007,-2.058296282815624,1.3040297996528487,-0.13148600122080392,-0.477661715826665
20160614HHKT0,HH,T,L,0,0.8457790304211797,-0.1301773342911862,-0.33849545381922663,-1.73207430618614,1.2104426737787932,-0.09122956319871148,-0.5623648940855699
20160616HHKT0,HH,T,L,0,0.8221790825012735,-0.07647424713644202,-0.09779107890207346,-1.733563234446556,1.224291190855511,-0.14778828034043706,-0.4514721475410426
20160621HHNC0,HH,T,W,0,0.5621306357568929,0.22068985482422865,0.5780362566840416,-1.6519810950986715,1.3206306111228876,-0.124987058590864,-1.2833113785129615
20160623HHNC0,HH,T,D,0,0.6491263340362714,0.2435695721108201,-0.6826559899708655,-1.5546859980819911,1.4251061515760044,-0.17300310934387958,-0.9342493786656724
