,G_ID,GDAY_DS,T_ID,VS_T_ID,PA,AB,RBI,RUN,HIT,H1,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,IsoP,OPS,XR,BABIP,HEADER_NO_1,HEADER_NO_2,TB_SC_T
0,20160401HHLG0,20160401,HH,LG,0.7291666666666666,0.8846153846153846,4,4,0.25,0.21153846153846154,0.038461538461538464,0.0,0.0,0,0,0.057692307692307696,0.0,0.057692307692307696,0,0.0,0.19230769230769232,0.2,0.4,12,0.2,15,3,0.04347826086956525,0.6526175687666371,0.28709460594858005,0.3611111111111111,0,0,1
1,20160402HHLG0,20160402,HH,LG,0.6874999999999999,0.86,7,7,0.26,0.18,0.08,0.0,0.0,0,1,0.04,0.0,0.06,1,0.04,0.18,0.0,0.2,10,0.333333333,15,5,0.09302325581395347,0.7703488372093024,0.3424634515207529,0.38235294117647056,0,0,1
2,20160405WOHH0,20160405,HH,WO,0.5,0.8536585365853658,8,9,0.3170731707317073,0.21951219512195122,0.0975609756097561,0.0,0.0,1,0,0.0,0.024390243902439025,0.0975609756097561,0,0.024390243902439025,0.024390243902439025,0.2,0.2,8,0.428571429,14,6,0.11428571428571427,0.924738675958188,0.39682406318265845,0.37142857142857133,0,0,0
3,20160406WOHH0,20160406,HH,WO,0.39583333333333337,0.9722222222222222,4,4,0.3055555555555556,0.16666666666666666,0.08333333333333333,0.0,0.05555555555555555,1,0,0.027777777777777776,0.0,0.0,0,0.0,0.1388888888888889,0.2,0.0,5,0.222222222,9,2,0.2571428571428571,0.8857142857142857,0.3303646445975466,0.32142857142857145,0,0,0
4,20160407WOHH0,20160407,HH,WO,0.47916666666666663,0.975,3,3,0.3,0.2,0.05,0.0,0.05,0,0,0.0,0.0,0.0,0,0.025,0.25,0.0,0.2,10,0.181818182,11,2,0.20512820512820507,0.8378205128205127,0.34968912787766765,0.3703703703703704,0,0,0
5,20160408HHNC0,20160408,HH,NC,0.45833333333333337,0.7948717948717948,4,4,0.1282051282051282,0.05128205128205128,0.05128205128205128,0.0,0.02564102564102564,0,0,0.0,0.0,0.15384615384615385,0,0.05128205128205128,0.23076923076923078,0.2,0.2,8,0.2,5,1,0.16129032258064516,0.6559139784946236,0.25172239959670645,0.19047619047619047,0,0,1
6,20160409HHNC0,20160409,HH,NC,0.3125,0.90625,1,1,0.21875,0.21875,0.0,0.0,0.0,0,1,0.03125,0.0,0.0625,0,0.0,0.25,0.6000000000000001,0.0,4,0.5,2,1,0.0,0.5317018909899889,0.12266845908250715,0.3333333333333333,0,0,1
7,20160410HHNC0,20160410,HH,NC,0.4375,0.7631578947368421,2,2,0.15789473684210525,0.13157894736842105,0.02631578947368421,0.0,0.0,0,0,0.10526315789473684,0.0,0.10526315789473684,0,0.02631578947368421,0.3157894736842105,0.0,0.0,9,0.181818182,11,2,0.03448275862068967,0.5649087221095335,0.21374558897664261,0.35294117647058826,0,0,1
8,20160412OBHH0,20160412,HH,OB,0.41666666666666663,0.918918918918919,1,2,0.24324324324324326,0.1891891891891892,0.05405405405405406,0.0,0.0,0,0,0.0,0.0,0.05405405405405406,0,0.02702702702702703,0.1891891891891892,0.6000000000000001,0.0,8,0.181818182,11,2,0.058823529411764726,0.6478537360890302,0.1982019828600235,0.3333333333333333,0,0,0
9,20160413OBHH0,20160413,HH,OB,0.5416666666666666,0.9302325581395349,3,3,0.3488372093023256,0.18604651162790697,0.11627906976744186,0.046511627906976744,0.0,1,0,0.0,0.0,0.06976744186046512,0,0.0,0.27906976744186046,0.2,0.4,13,0.066666667,15,1,0.225,1.0186046511627906,0.43429675684758867,0.5357142857142857,0,0,0
10,20160414OBHH0,20160414,HH,OB,0.3125,0.96875,1,2,0.15625,0.15625,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0.03125,0.3125,0.4,0.4,3,0.166666667,6,1,0.0,0.34879032258064513,0.07788606956813982,0.2380952380952381,0,0,0
11,20160415LGHH0,20160415,HH,LG,0.375,0.9428571428571428,1,2,0.2571428571428571,0.2571428571428571,0.0,0.0,0.0,0,0,0.0,0.0,0.05714285714285714,0,0.0,0.11428571428571428,0.8,0.6000000000000001,6,0.090909091,11,1,0.0,0.5870129870129871,0.15467988573349017,0.3103448275862069,0,0,0
12,20160417LGHH0,20160417,HH,LG,0.5416666666666666,0.7906976744186046,4,4,0.16279069767441862,0.16279069767441862,0.0,0.0,0.0,1,0,0.0,0.0,0.18604651162790697,2,0.023255813953488372,0.2558139534883721,0.4,0.0,12,0.14285714300000002,7,1,0.0,0.5779753761969904,0.23004537052596208,0.3043478260869565,0,0,0
13,20160419HHLT0,20160419,HH,LT,0.5625,0.8636363636363636,3,3,0.18181818181818182,0.1590909090909091,0.0,0.0,0.022727272727272728,0,0,0.0,0.0,0.13636363636363635,0,0.0,0.25,0.0,0.2,11,0.2,5,1,0.07894736842105265,0.6076555023923444,0.26743404469837,0.2692307692307692,0,0,1
14,20160420HHLT0,20160420,HH,LT,0.4375,0.9473684210526315,4,4,0.2631578947368421,0.21052631578947367,0.02631578947368421,0.0,0.02631578947368421,0,0,0.0,0.0,0.05263157894736842,0,0.0,0.07894736842105263,0.2,0.2,7,0.375,8,3,0.1111111111111111,0.7046783625730995,0.2638212065199126,0.28125,0,0,1
15,20160421HHLT0,20160421,HH,LT,0.6041666666666666,0.717391304347826,9,9,0.2826086956521739,0.21739130434782608,0.06521739130434782,0.0,0.0,2,2,0.08695652173913043,0.021739130434782608,0.17391304347826086,1,0.0,0.21739130434782608,0.0,0.0,10,0.333333333,15,5,0.09090909090909094,0.9848484848484848,0.4341287178625441,0.5416666666666666,0,0,1
16,20160422HHOB0,20160422,HH,OB,0.4375,0.868421052631579,2,2,0.18421052631578946,0.13157894736842105,0.02631578947368421,0.0,0.02631578947368421,0,0,0.02631578947368421,0.0,0.10526315789473684,0,0.0,0.15789473684210525,0.0,0.0,9,0.25,8,2,0.1212121212121212,0.6306306306306306,0.2455889766425811,0.2307692307692308,0,0,1
17,20160423HHOB0,20160423,HH,OB,0.35416666666666663,0.9705882352941176,2,2,0.17647058823529413,0.14705882352941177,0.0,0.0,0.029411764705882353,0,0,0.0,0.0,0.029411764705882353,0,0.0,0.2647058823529412,0.0,0.0,5,0.25,4,1,0.09090909090909087,0.4786096256684492,0.16602251722399597,0.21739130434782608,0,0,1
18,20160424HHOB0,20160424,HH,OB,0.375,0.8857142857142857,1,1,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.0,0.02857142857142857,0,0,0.0,0.0,0.05714285714285714,0,0.05714285714285714,0.2571428571428571,0.0,0.4,7,0.0,4,0,0.12903225806451613,0.4866359447004608,0.17610485632666778,0.14285714285714285,0,0,1
19,20160426HTHH0,20160426,HH,HT,0.39583333333333337,0.75,3,4,0.16666666666666666,0.1111111111111111,0.027777777777777776,0.0,0.027777777777777776,0,0,0.05555555555555555,0.0,0.19444444444444445,0,0.0,0.1388888888888889,0.2,0.0,8,0.125,8,1,0.14814814814814814,0.7527233115468409,0.27281129221979505,0.2380952380952381,0,0,0
20,20160428HTHH0,20160428,HH,HT,0.6041666666666666,0.8260869565217391,3,3,0.1956521739130435,0.15217391304347827,0.043478260869565216,0.0,0.0,2,0,0.043478260869565216,0.021739130434782608,0.10869565217391304,1,0.0,0.15217391304347827,0.0,0.6000000000000001,11,0.28571428600000004,7,2,0.05263157894736845,0.6076555023923444,0.2885229373214586,0.28125,0,0,0
21,20160429SSHH0,20160429,HH,SS,0.5,0.926829268292683,10,10,0.36585365853658536,0.2682926829268293,0.024390243902439025,0.0,0.07317073170731707,0,0,0.0,0.0,0.04878048780487805,0,0.024390243902439025,0.14634146341463414,0.2,0.0,7,0.5,10,5,0.2631578947368421,1.0969191270860077,0.47244160645269706,0.4137931034482759,0,0,0
