G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,H1,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H1,CUM_H2,CUM_H3,cFIP,K/9,BB/9,K/BB,OAVG,OOBP,OSLG,OOPS,WHIP,BABIP,DICE,ERA,RA9,FIP,kFIP,HR/9,H/9
20180324HHWO0,20180324,WO,HH,0,B,0,W,2,27,152,38,37,13,0,1,0,1,0,0,0,1,0,0,9,0,0,0,1,3,2,1.0909090909999999,1.6,2.25,12,2,27,9,1,13,0,37,0,0,3,12,0,1,3.833,9.0,1.0,9.0,0.35135135135135137,0.3684210526315789,0.40540540540540543,0.7738264580369844,1.5555555555555556,0.4642857142857143,1.3333333333333333,2.0,3.0,2.166333333333333,3.1663333333333337,0.0,13.0
20180324HHWO0,20180324,HH,WO,0,T,0,L,0,24,173,41,37,12,3,0,1,2,0,0,0,4,0,0,10,0,2,0,0,6,5,1.75,3.0,2.25,8,5,24,10,4,12,1,37,0,0,6,8,3,0,3.833,11.25,4.5,2.5,0.32432432432432434,0.3902439024390244,0.4864864864864865,0.8767303889255109,2.0,0.4230769230769231,3.625,5.625,6.75,4.458,5.833,1.125,13.5
20180324KTHT0,20180324,HT,KT,0,B,0,L,0,27,154,38,37,11,1,0,3,0,0,0,0,1,0,0,9,0,0,0,0,5,5,2.0,1.333333333,1.5,7,5,27,9,1,11,3,37,0,0,5,7,1,0,3.833,9.0,1.0,9.0,0.2972972972972973,0.3157894736842105,0.5675675675675675,0.883357041251778,1.3333333333333333,0.32,5.666666666666666,5.0,5.0,6.499666666666666,7.833,3.0,11.0
20180324KTHT0,20180324,KT,HT,0,T,0,W,2,27,165,43,36,12,2,0,0,0,0,2,1,2,0,2,8,0,0,0,0,4,4,1.2,1.5555555559999998,2.625,10,4,27,8,2,12,0,36,1,2,4,10,2,0,3.833,8.0,2.0,4.0,0.3333333333333333,0.3902439024390244,0.3888888888888889,0.7791327913279134,1.5555555555555556,0.41379310344827586,2.5555555555555554,4.0,4.0,3.3885555555555555,4.277444444444445,0.0,12.0
20180324LGNC0,20180324,NC,LG,0,B,0,W,2,27,113,32,30,7,0,0,1,1,0,0,1,1,0,0,9,1,0,0,0,2,2,0.0,0.7777777779999999,1.333333333,6,2,27,9,1,7,1,30,1,0,2,6,0,0,3.833,9.0,1.0,9.0,0.23333333333333334,0.25,0.3333333333333333,0.5833333333333333,0.8888888888888888,0.2857142857142857,2.7777777777777777,2.0,2.0,3.610777777777778,4.7218888888888895,1.0,7.0
20180324LGNC0,20180324,LG,NC,0,T,0,L,0,24,141,35,30,9,2,0,1,1,1,0,1,4,0,0,9,0,1,0,0,4,4,0.428571429,1.6956521740000001,1.0,6,4,24,9,4,9,1,30,1,0,4,6,2,0,3.833,10.125,4.5,2.25,0.3,0.37142857142857144,0.4666666666666667,0.8380952380952381,1.625,0.38095238095238093,3.875,4.5,4.5,4.708,5.958,1.125,10.125
20180324LTSK0,20180324,SK,LT,0,B,0,W,2,27,170,39,33,7,2,0,0,2,0,0,0,6,0,0,12,0,1,0,0,5,4,1.5,1.4444444440000002,2.5714285709999998,5,4,27,12,6,7,0,33,0,0,5,5,2,0,3.833,12.0,6.0,2.0,0.21212121212121213,0.3333333333333333,0.2727272727272727,0.606060606060606,1.4444444444444444,0.3333333333333333,2.3333333333333335,4.0,5.0,3.1663333333333337,4.499666666666667,0.0,7.0
20180324LTSK0,20180324,LT,SK,0,T,0,L,0,24,166,40,32,8,1,0,1,2,1,0,1,7,0,0,10,0,1,0,0,6,5,2.142857143,1.875,1.2,6,5,24,10,7,8,1,32,1,0,6,6,1,0,3.833,11.25,7.875,1.4285714285714286,0.25,0.375,0.375,0.75,1.875,0.3181818181818182,4.75,5.625,6.75,5.583,6.958,1.125,9.0
20180324SSOB0,20180324,OB,SS,0,B,0,L,0,27,172,43,37,13,4,0,0,0,0,1,0,4,0,1,9,0,0,0,0,6,6,1.6666666669999999,3.0,3.428571429,9,6,27,9,4,13,0,37,0,1,6,9,4,0,3.833,9.0,4.0,2.25,0.35135135135135137,0.42857142857142855,0.4594594594594595,0.888030888030888,1.8888888888888888,0.4642857142857143,2.6666666666666665,6.0,6.0,3.4996666666666667,4.499666666666667,0.0,13.0
20180324SSOB0,20180324,SS,OB,0,T,0,W,2,27,114,32,32,6,2,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,3,2.0,0.272727273,1.0,3,3,27,4,0,6,1,32,0,0,3,3,2,0,3.833,4.0,0.0,0.0,0.1875,0.1875,0.34375,0.53125,0.6666666666666666,0.18518518518518517,3.5555555555555554,3.0,3.0,4.3885555555555555,4.944111111111111,1.0,6.0
20180325HHWO0,20180325,WO,HH,0,B,0,L,0,27,154,39,36,11,3,0,1,2,1,0,0,1,0,2,9,1,0,0,0,4,4,1.5,1.928571429,3.0,7,6,54,18,2,24,1,73,0,2,7,19,3,1,3.833,9.0,1.0,9.0,0.3287671232876712,0.36363636363636365,0.4383561643835616,0.8019925280199253,1.4444444444444444,0.42592592592592593,2.388888888888889,3.0,3.5,3.221888888888889,4.277444444444445,0.5,12.0
20180325HHWO0,20180325,HH,WO,0,T,0,W,1,27,138,33,31,5,1,0,1,0,0,0,0,1,0,1,11,0,0,0,0,1,1,0.0,0.692307692,0.666666667,3,6,51,21,5,17,2,68,0,1,7,11,4,0,3.833,11.117647058823529,2.6470588235294117,4.2,0.25,0.3108108108108108,0.39705882352941174,0.7078696343402225,1.2941176470588236,0.3333333333333333,3.1176470588235294,3.176470588235294,3.7058823529411766,3.9506470588235296,5.303588235294118,1.0588235294117647,9.0
20180325KTHT0,20180325,HT,KT,0,B,0,W,0,27,116,33,33,7,1,0,1,0,0,0,0,0,0,0,8,1,0,0,0,1,1,0.0,1.0,1.5,5,6,54,17,1,18,4,70,0,0,6,12,2,0,3.833,8.5,0.5,17.0,0.2571428571428571,0.2676056338028169,0.45714285714285713,0.7247484909456741,1.0555555555555556,0.2857142857142857,4.166666666666667,3.0,3.0,4.999666666666667,6.166333333333334,2.0,9.0
20180325KTHT0,20180325,KT,HT,0,T,0,L,0,24,157,44,39,16,2,0,4,1,0,0,1,3,0,1,8,0,0,0,0,14,14,3.0,15.0,3.428571429,10,18,51,16,5,28,4,75,2,3,18,20,4,0,3.833,8.470588235294118,2.6470588235294117,3.2,0.37333333333333335,0.4235294117647059,0.5866666666666667,1.0101960784313726,1.9411764705882353,0.42105263157894735,5.235294117647059,9.529411764705882,9.529411764705882,6.421235294117647,7.597705882352941,2.1176470588235294,14.823529411764707
20180325LGNC0,20180325,NC,LG,0,B,0,W,0,27,140,35,30,3,0,0,1,0,0,0,0,4,0,1,7,0,1,0,0,1,1,0.75,0.8,0.6,2,3,54,16,5,10,2,60,1,1,3,8,0,0,3.833,8.0,2.5,3.2,0.16666666666666666,0.23880597014925373,0.26666666666666666,0.5054726368159204,0.8333333333333334,0.18604651162790697,3.6666666666666665,1.5,1.5,4.499666666666667,5.499666666666667,1.0,5.0
20180325LGNC0,20180325,LG,NC,0,T,0,L,0,24,158,41,30,8,1,0,0,2,0,0,2,5,0,4,5,2,2,0,0,7,2,1.333333333,1.615384615,1.0909090909999999,7,6,48,14,9,17,1,60,3,4,11,13,3,0,3.833,7.875,5.0625,1.5555555555555556,0.2833333333333333,0.39473684210526316,0.38333333333333336,0.7780701754385966,1.625,0.3333333333333333,4.5,3.375,6.1875,5.333,6.2705,0.5625,9.5625
20180325LTSK0,20180325,SK,LT,0,B,0,W,2,27,126,33,32,5,1,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0.0,0.571428571,0.6,4,4,54,21,7,12,0,65,0,0,5,9,3,0,3.833,10.5,3.5,3.0,0.18461538461538463,0.2638888888888889,0.23076923076923078,0.4946581196581197,1.0555555555555556,0.2727272727272727,1.8333333333333333,2.0,2.5,2.666333333333333,3.833,0.0,6.0
20180325LTSK0,20180325,LT,SK,0,T,0,L,0,24,133,36,31,9,2,0,3,1,0,0,0,5,0,0,9,2,0,0,0,5,5,1.5,1.894736842,4.2,4,10,48,19,12,17,4,63,1,0,11,10,3,0,3.833,10.6875,6.75,1.5833333333333333,0.2698412698412698,0.3815789473684211,0.5079365079365079,0.8895154553049289,1.8125,0.3170731707317073,6.125,5.625,6.1875,6.958,8.3955,2.25,9.5625
20180325SSOB0,20180325,OB,SS,0,B,0,W,1,27,122,33,31,6,0,0,1,0,1,1,0,1,0,0,4,0,0,0,0,4,4,2.0,0.6521739129999999,0.6,5,10,54,13,5,19,1,68,0,1,10,14,4,0,3.833,6.5,2.5,2.6,0.27941176470588236,0.33783783783783783,0.38235294117647056,0.7201907790143084,1.3333333333333333,0.3333333333333333,3.111111111111111,5.0,5.0,4.110777777777778,4.8885555555555555,0.5,9.5
20180325SSOB0,20180325,SS,OB,0,T,0,L,0,24,130,34,28,8,0,0,1,0,0,1,1,3,0,1,4,2,0,1,0,5,5,0.6,1.2,1.333333333,7,8,51,8,3,14,2,60,1,1,8,10,2,0,3.833,4.235294117647059,1.588235294117647,2.6666666666666665,0.23333333333333334,0.27692307692307694,0.36666666666666664,0.6435897435897435,1.0,0.23529411764705882,4.294117647058823,4.235294117647059,4.235294117647059,5.127117647058824,5.715352941176471,1.0588235294117647,7.411764705882353
20180327HHNC0,20180327,NC,HH,0,B,0,W,3,27,151,41,34,10,0,0,2,0,0,0,0,5,0,2,6,2,0,0,0,6,6,2.25,0.428571429,0.9,8,9,81,22,10,20,4,94,1,3,9,16,0,0,3.833,7.333333333333333,3.3333333333333335,2.2,0.2127659574468085,0.3055555555555556,0.3404255319148936,0.6459810874704492,1.1111111111111112,0.2318840579710145,4.62962962962963,3.0,3.0,5.573740740740741,6.536703703703704,1.3333333333333333,6.666666666666667
20180327HHNC0,20180327,HH,NC,0,T,0,L,0,24,153,38,32,9,1,0,2,0,0,0,1,3,0,2,8,0,3,0,0,9,6,1.5,3.0,1.125,6,12,75,29,8,26,4,100,1,3,16,17,5,0,3.833,10.44,2.88,3.625,0.26,0.33035714285714285,0.43,0.7603571428571428,1.36,0.3235294117647059,3.96,4.32,5.76,4.913,6.2330000000000005,1.44,9.36
20180327KTSK0,20180327,SK,KT,0,B,0,W,0,27,139,36,34,8,1,0,2,1,1,0,0,2,0,0,6,0,0,0,1,5,4,0.75,1.0,1.125,5,8,81,27,9,20,2,99,0,0,10,14,4,0,3.833,9.0,3.0,3.0,0.20202020202020202,0.26851851851851855,0.30303030303030304,0.5715488215488216,1.0740740740740742,0.2571428571428571,2.962962962962963,2.6666666666666665,3.3333333333333335,3.795962962962963,4.870037037037037,0.6666666666666666,6.666666666666667
20180327KTSK0,20180327,KT,SK,0,T,0,L,0,24,159,43,39,14,0,1,3,4,0,0,0,3,0,1,9,0,2,0,0,8,7,1.5,3.0,2.0,10,25,75,25,8,42,7,114,2,4,26,30,4,1,3.833,9.0,2.88,3.125,0.3684210526315789,0.421875,0.6052631578947368,1.0271381578947367,2.0,0.4166666666666667,5.720000000000001,9.0,9.36,6.913,8.193000000000001,2.52,15.12
20180327LGWO0,20180327,WO,LG,0,B,0,W,2,30,163,43,38,10,3,0,0,0,0,1,0,4,0,0,10,0,0,0,0,4,4,1.0909090909999999,1.4,1.8,7,10,84,28,6,34,1,111,0,2,11,26,6,1,3.833,9.0,1.9285714285714286,4.666666666666667,0.3063063063063063,0.35294117647058826,0.40540540540540543,0.7583465818759937,1.4285714285714286,0.4024390243902439,2.107142857142857,3.2142857142857144,3.5357142857142856,3.1544285714285714,4.190142857142857,0.32142857142857145,10.928571428571429
20180327LGWO0,20180327,LG,WO,0,T,0,L,0,29,158,45,39,14,3,0,0,0,1,2,0,3,1,1,5,1,0,0,0,5,4,1.363636364,1.75862069,3.428571429,11,10,77,19,12,31,1,99,3,5,16,24,6,0,3.833,6.662337662337662,4.207792207792208,1.5833333333333333,0.31313131313131315,0.40336134453781514,0.40404040404040403,0.8074017485782192,1.6753246753246753,0.36585365853658536,3.5454545454545454,3.5064935064935066,5.6103896103896105,4.845987012987013,5.625207792207792,0.35064935064935066,10.870129870129869
20180327LTOB0,20180327,OB,LT,0,B,0,W,0,27,133,31,29,3,0,0,0,0,0,0,0,2,0,0,11,1,1,0,0,0,0,0.0,1.0,0.6,3,10,81,24,7,22,1,97,0,1,10,17,4,0,3.833,8.0,2.3333333333333335,3.4285714285714284,0.2268041237113402,0.2857142857142857,0.29896907216494845,0.5846833578792341,1.0740740740740742,0.2916666666666667,2.4814814814814814,3.3333333333333335,3.3333333333333335,3.4255925925925927,4.351518518518518,0.3333333333333333,7.333333333333333
20180327LTOB0,20180327,LT,OB,0,T,0,L,0,24,166,38,29,7,3,0,0,1,0,0,1,6,0,2,11,1,2,0,0,5,5,2.25,3.75,0.3,4,15,72,30,18,24,4,92,2,2,16,14,6,0,3.833,11.25,6.75,1.6666666666666667,0.2608695652173913,0.38596491228070173,0.45652173913043476,0.8424866514111364,1.75,0.3333333333333333,5.166666666666666,5.625,6.0,5.999666666666666,7.416333333333334,1.5,9.0
20180327SSHT0,20180327,HT,SS,0,B,0,W,0,27,135,34,32,6,1,0,0,0,0,0,0,2,0,0,5,1,1,0,0,0,0,0.428571429,0.5,1.5,5,6,81,22,3,24,4,102,0,0,6,17,3,0,3.833,7.333333333333333,1.0,7.333333333333333,0.23529411764705882,0.2571428571428571,0.38235294117647056,0.6394957983193277,1.0,0.2631578947368421,3.6296296296296298,2.0,2.0,4.46262962962963,5.425592592592593,1.3333333333333333,8.0
20180327SSHT0,20180327,SS,HT,0,T,0,L,0,24,193,46,36,14,3,0,6,1,0,0,0,9,0,1,10,2,0,0,0,17,17,3.0,2.0,4.0,5,25,75,18,12,28,8,96,1,2,25,15,5,0,3.833,6.48,4.32,1.5,0.2916666666666667,0.3783783783783784,0.59375,0.9721283783783784,1.6,0.28169014084507044,7.28,9.0,9.0,8.233,9.273,2.88,10.08
20180328HHNC0,20180328,NC,HH,0,B,0,L,0,27,159,41,37,10,1,0,1,3,0,0,0,4,0,0,5,0,0,0,0,6,6,4.5,1.8260869569999998,1.363636364,8,15,108,27,14,30,5,131,1,3,15,24,1,0,3.833,6.75,3.5,1.9285714285714286,0.22900763358778625,0.31543624161073824,0.3511450381679389,0.6665812797786772,1.2222222222222223,0.25,4.472222222222222,3.75,3.75,5.5552222222222225,6.444111111111111,1.25,7.5
20180328HHNC0,20180328,HH,NC,0,T,0,W,0,27,139,34,30,5,2,0,0,0,0,0,0,3,0,1,4,2,0,0,0,2,2,1.0,0.857142857,1.714285714,3,14,102,33,11,31,4,130,1,4,18,20,7,0,3.833,8.735294117647058,2.911764705882353,3.0,0.23846153846153847,0.3150684931506849,0.38461538461538464,0.6996838777660696,1.2352941176470589,0.2872340425531915,3.6470588235294117,3.7058823529411766,4.764705882352941,4.744764705882353,5.833,1.0588235294117647,8.205882352941176
20180328KTSK0,20180328,SK,KT,0,B,0,L,0,27,164,45,41,15,4,0,2,2,0,0,0,4,0,0,10,1,0,0,0,8,8,0.923076923,1.941176471,1.0909090909999999,9,16,108,37,13,35,4,140,0,0,18,23,8,0,3.833,9.25,3.25,2.8461538461538463,0.25,0.3137254901960784,0.39285714285714285,0.7065826330532212,1.3333333333333333,0.31313131313131315,3.4722222222222223,4.0,4.5,4.3052222222222225,5.444111111111111,1.0,8.75
