G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20190323HHOB0,20190323,HH,OB,0,T,42,34,4,4,12,1,0,0,0,1,1,1,5,0,1,7,2,1,11,0.2,10,2,11,0.721,0.752,0.945,1.317,1.653,2.074,0.35294117647058826,0.38235294117647056,0.029411764705882304,0.43902439024390244,0.821377331420373,5.571428571428571,5.574,0.3825952380952381,0.42857142857142855
20190323LGHT0,20190323,HT,LG,0,B,33,28,0,0,3,1,0,0,0,0,1,0,3,0,1,6,1,0,6,0.0,9,0,2,0.721,0.752,0.945,1.317,1.653,2.074,0.10714285714285714,0.14285714285714285,0.03571428571428571,0.21875,0.36160714285714285,1.010909090909091,0.452,0.18551515151515152,0.13636363636363635
20190323KTSK0,20190323,KT,SK,0,T,39,36,4,4,9,0,0,1,0,0,0,0,3,0,0,10,1,1,8,0.2,10,2,8,0.721,0.752,0.945,1.317,1.653,2.074,0.25,0.3333333333333333,0.08333333333333331,0.3076923076923077,0.641025641025641,3.6046153846153843,3.5799999999999987,0.30248717948717946,0.32
20190323LGHT0,20190323,LG,HT,0,T,34,31,2,2,8,3,0,0,0,0,0,0,3,0,0,12,3,0,5,0.14285714300000002,7,1,5,0.721,0.752,0.945,1.317,1.653,2.074,0.25806451612903225,0.3548387096774194,0.09677419354838712,0.3235294117647059,0.6783681214421253,2.7717647058823527,2.4039999999999995,0.3187941176470588,0.42105263157894735
20190323WOLT0,20190323,LT,WO,0,B,37,35,4,4,7,2,0,0,1,0,0,0,1,0,1,11,0,2,6,0.23076923100000002,13,3,5,0.721,0.752,0.945,1.317,1.653,2.074,0.2,0.2571428571428571,0.057142857142857106,0.24324324324324326,0.5003861003861003,2.4421621621621616,2.1919999999999993,0.23870270270270266,0.2916666666666667
20190323SSNC0,20190323,NC,SS,0,B,36,31,7,7,8,0,0,3,0,1,0,0,5,0,0,7,0,2,5,0.25,4,1,5,0.721,0.752,0.945,1.317,1.653,2.074,0.25806451612903225,0.5483870967741935,0.29032258064516125,0.3611111111111111,0.9094982078853047,6.1000000000000005,6.074,0.4042222222222222,0.23809523809523808
20190323HHOB0,20190323,OB,HH,0,B,33,28,5,5,6,1,0,1,0,0,0,0,5,0,0,3,1,0,4,0.5,4,2,4,0.721,0.752,0.945,1.317,1.653,2.074,0.21428571428571427,0.35714285714285715,0.14285714285714288,0.3333333333333333,0.6904761904761905,3.4242424242424243,3.486,0.3265454545454545,0.20833333333333334
20190323KTSK0,20190323,SK,KT,0,B,37,31,6,7,8,1,0,2,1,0,0,0,6,0,0,5,1,1,6,0.375,8,3,5,0.721,0.752,0.945,1.317,1.653,2.074,0.25806451612903225,0.4838709677419355,0.22580645161290325,0.3783783783783784,0.8622493461203139,6.00108108108108,5.84,0.3923243243243243,0.25
20190323SSNC0,20190323,SS,NC,0,T,31,29,0,0,4,0,0,0,0,0,0,0,2,0,0,5,3,0,4,0.0,3,0,4,0.721,0.752,0.945,1.317,1.653,2.074,0.13793103448275862,0.13793103448275862,0.0,0.1935483870967742,0.3314794215795328,0.43741935483870964,-0.7199999999999995,0.1684516129032258,0.16666666666666666
20190323WOLT0,20190323,WO,LT,0,T,44,40,7,7,14,1,0,2,0,1,1,0,3,0,0,7,1,2,10,0.294117647,17,5,11,0.721,0.752,0.945,1.317,1.653,2.074,0.35,0.525,0.17500000000000004,0.3953488372093023,0.9203488372093023,7.6022727272727275,7.074,0.40961363636363635,0.3870967741935484
