G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20160401HHLG0,20160401,LG,HH,0,B,47,42,4,5,9,2,0,1,2,1,1,0,4,0,0,11,0,0,8,0.333333333,12,4,6,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.21428571428571427,0.3333333333333333,0.11904761904761904,0.2826086956521739,0.6159420289855072,4.238297872340426,4.261999999999999,0.2786382978723404,0.26666666666666666
20160401HHLG0,20160401,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3,11,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.2826086956521739,0.32608695652173914,0.043478260869565244,0.32653061224489793,0.6526175687666371,5.001923076923077,4.659999999999998,0.29175,0.3611111111111111
20160401HTNC0,20160401,NC,HT,0,B,36,30,5,5,9,2,0,2,0,0,1,0,5,0,0,9,1,1,7,0.14285714300000002,7,1,5,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.3,0.5666666666666667,0.26666666666666666,0.4,0.9666666666666667,6.796111111111111,6.228,0.41102777777777777,0.3684210526315789
20160401HTNC0,20160401,HT,NC,0,T,38,34,3,4,8,3,0,1,0,0,0,0,3,0,1,10,1,0,7,0.1,10,1,4,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.23529411764705882,0.4117647058823529,0.1764705882352941,0.3157894736842105,0.7275541795665634,4.353684210526316,4.169999999999999,0.3291578947368421,0.30434782608695654
20160401KTSK0,20160401,SK,KT,0,B,36,36,4,4,10,5,0,1,0,0,0,0,0,0,0,7,1,1,5,0.375,8,3,4,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.2777777777777778,0.5,0.2222222222222222,0.2777777777777778,0.7777777777777778,4.5,4.273999999999999,0.33441666666666664,0.32142857142857145
20160401KTSK0,20160401,KT,SK,0,T,42,36,7,8,11,0,0,2,2,1,0,1,4,0,1,7,0,0,7,0.28571428600000004,7,2,9,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.3055555555555556,0.4722222222222222,0.16666666666666663,0.38095238095238093,0.8531746031746031,7.0928571428571425,7.183999999999999,0.38223809523809527,0.32142857142857145
20160401LTWO0,20160401,WO,LT,0,B,36,30,1,1,6,1,0,0,0,2,0,1,5,0,0,6,0,1,8,0.0,5,0,5,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.2,0.23333333333333334,0.033333333333333326,0.3055555555555556,0.538888888888889,2.205,2.442,0.2702222222222222,0.24
20160401LTWO0,20160401,LT,WO,0,T,39,37,1,2,11,2,0,0,1,0,0,0,2,0,0,6,2,0,10,0.071428571,14,1,9,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.2972972972972973,0.35135135135135137,0.05405405405405406,0.3333333333333333,0.6846846846846847,3.96,3.671999999999999,0.3214358974358974,0.3548387096774194
20160401OBSS0,20160401,SS,OB,0,B,35,32,1,1,8,0,0,0,1,1,0,0,2,0,1,6,2,1,7,0.25,4,1,8,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.25,0.25,0.0,0.3142857142857143,0.5642857142857143,2.1257142857142854,1.9319999999999988,0.2805714285714286,0.3076923076923077
20160401OBSS0,20160401,OB,SS,0,T,37,31,4,5,8,0,0,2,2,1,1,1,3,0,1,3,1,0,5,0.14285714300000002,7,1,6,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.25806451612903225,0.45161290322580644,0.1935483870967742,0.3333333333333333,0.7849462365591398,4.627027027027027,5.226,0.3371621621621622,0.2222222222222222
20160402HHLG0,20160402,LG,HH,0,B,49,40,8,8,12,2,1,1,1,2,0,0,8,0,1,9,0,1,11,0.3,10,3,8,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.3,0.475,0.175,0.42857142857142855,0.9035714285714285,8.476326530612244,7.927999999999999,0.41459183673469385,0.36666666666666664
20160402HHLG0,20160402,HH,LG,0,T,50,43,7,7,13,4,0,0,0,1,2,0,3,1,2,9,0,1,10,0.333333333,15,5,9,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.3023255813953488,0.3953488372093023,0.09302325581395349,0.375,0.7703488372093024,6.487199999999999,5.978000000000001,0.3393877551020408,0.38235294117647056
20160402HTNC0,20160402,NC,HT,0,B,36,33,3,3,7,1,0,1,1,0,0,0,2,0,1,5,1,0,6,0.0,4,0,5,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.21212121212121213,0.3333333333333333,0.12121212121212119,0.2777777777777778,0.6111111111111112,3.0749999999999997,3.1099999999999994,0.28219444444444447,0.2222222222222222
20160402HTNC0,20160402,HT,NC,0,T,39,33,4,4,8,2,0,1,1,1,1,0,5,0,0,8,0,0,8,0.428571429,7,3,5,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.24242424242424243,0.3939393939393939,0.1515151515151515,0.34210526315789475,0.7360446570972887,4.72,4.6659999999999995,0.3307435897435897,0.2916666666666667
20160402KTSK0,20160402,SK,KT,0,B,44,37,4,4,10,2,0,1,2,0,0,0,6,2,1,6,1,1,12,0.111111111,9,1,7,0.747,0.774,0.9440000000000001,1.273,1.569,1.8980000000000001,0.2702702702702703,0.40540540540540543,0.13513513513513514,0.38636363636363635,0.7917690417690417,6.305454545454546,6.091999999999998,0.3527142857142857,0.3
