G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20170331HHOB0,20170331,OB,HH,0,B,33,27,3,3,4,1,0,0,3,0,0,2,2,0,2,8,0,1,6,0.111111111,9,1,3,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.14814814814814814,0.18518518518518517,0.037037037037037035,0.24242424242424243,0.4276094276094276,2.0945454545454547,2.7260000000000004,0.2123636363636364,0.19047619047619047
20170331HHOB0,20170331,HH,OB,0,T,33,29,0,0,4,0,0,0,0,1,1,0,3,0,0,8,0,4,6,0.0,4,0,4,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.13793103448275862,0.13793103448275862,0.0,0.21875,0.3566810344827586,0.9636363636363635,0.4260000000000001,0.17854545454545456,0.19047619047619047
20170331HTSS0,20170331,SS,HT,0,B,33,31,2,2,7,1,0,2,0,0,1,0,1,0,0,7,1,1,4,0.0,3,0,4,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.22580645161290322,0.45161290322580644,0.22580645161290322,0.25,0.7016129032258065,3.135151515151515,3.3939999999999992,0.28778787878787876,0.22727272727272727
20170331HTSS0,20170331,HT,SS,0,T,42,34,7,7,7,1,1,3,0,1,0,0,8,0,0,5,0,1,8,0.28571428600000004,7,2,2,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.20588235294117646,0.5588235294117647,0.35294117647058826,0.35714285714285715,0.9159663865546219,7.026666666666666,7.01,0.38566666666666666,0.15384615384615385
20170331KTSK0,20170331,SK,KT,0,B,36,33,2,2,8,1,0,0,1,0,1,0,0,0,1,8,1,1,7,0.4,5,2,7,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.24242424242424243,0.2727272727272727,0.030303030303030276,0.2647058823529412,0.5374331550802138,2.354285714285714,2.095999999999999,0.23622222222222225,0.32
20170331KTSK0,20170331,KT,SK,0,T,37,35,3,3,9,2,0,1,0,1,0,0,2,1,0,8,1,1,7,0.2,5,1,6,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.2571428571428571,0.4,0.1428571428571429,0.2972972972972973,0.6972972972972973,3.4686486486486485,3.3759999999999986,0.2974722222222222,0.3076923076923077
20170331LGWO0,20170331,WO,LG,0,B,34,30,1,1,5,2,1,0,0,0,0,0,4,0,0,6,2,1,6,0.0,8,0,2,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.16666666666666666,0.3,0.13333333333333333,0.2647058823529412,0.5647058823529412,2.0670588235294116,1.8019999999999998,0.2600588235294118,0.20833333333333334
20170331LGWO0,20170331,LG,WO,0,T,34,31,1,2,4,0,0,1,0,0,0,0,3,0,0,10,1,0,5,0.0,2,0,3,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.12903225806451613,0.22580645161290322,0.0967741935483871,0.20588235294117646,0.43168880455407965,1.3729411764705883,1.0799999999999996,0.20194117647058824,0.15
20170331LTNC0,20170331,NC,LT,0,B,38,32,6,6,11,5,0,1,2,2,0,0,4,0,2,9,0,2,8,0.384615385,13,5,5,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.34375,0.59375,0.25,0.4473684210526316,1.0411184210526316,8.526315789473683,7.337999999999997,0.454078947368421,0.45454545454545453
20170331LTNC0,20170331,LT,NC,0,T,34,33,3,5,7,2,0,1,0,1,0,0,0,0,1,8,0,2,2,0.666666667,3,2,4,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.21212121212121213,0.36363636363636365,0.15151515151515152,0.23529411764705882,0.5989304812834224,2.5241176470588234,2.4959999999999996,0.26126470588235295,0.25
20170401HHOB0,20170401,OB,HH,0,B,49,42,4,5,9,0,0,1,1,0,0,1,6,0,0,7,0,0,11,0.28571428600000004,7,2,8,0.728,0.7559999999999999,0.927,1.2590000000000001,1.558,1.901,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.30612244897959184,0.5918367346938775,4.469387755102041,5.004,0.2792857142857143,0.22857142857142856
