G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
20200505HHSK0,20200505,SK,HH,0,B,30,29,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,3,0.0,1,0,2,2,29,2,0,0,0,1,0,0,0,0,0,0,0,2,30,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.06896551724137931,0.06896551724137931,0.0,0.1,0.16896551724137931,0.22599999999999998,-1.1059999999999999,0.0867,0.07407407407407407
20200505HHSK0,20200505,HH,SK,0,T,35,31,3,3,8,3,0,0,0,1,2,0,2,0,0,5,1,0,5,0.25,8,2,5,8,31,5,3,0,0,2,0,0,1,1,0,2,0,5,35,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.25806451612903225,0.3548387096774194,0.09677419354838712,0.30303030303030304,0.6578690127077225,2.8708571428571426,2.619999999999999,0.2851714285714286,0.3076923076923077
20200505LTKT0,20200505,KT,LT,0,B,35,30,2,2,5,1,0,1,0,1,0,0,5,0,0,8,1,0,6,0.0,4,0,3,5,30,3,1,0,1,5,0,0,1,1,0,0,0,8,35,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.16666666666666666,0.3,0.13333333333333333,0.2857142857142857,0.5857142857142856,2.3542857142857145,2.355999999999999,0.2768,0.19047619047619047
20200505LTKT0,20200505,LT,KT,0,T,37,32,7,7,7,1,0,2,0,0,0,1,4,0,0,9,1,1,3,0.666666667,3,2,4,7,32,4,1,0,2,4,0,1,0,1,0,0,0,9,37,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.21875,0.4375,0.21875,0.2972972972972973,0.7347972972972974,4.205405405405405,4.638,0.32024324324324327,0.22727272727272727
20200505NCSS0,20200505,SS,NC,0,B,36,30,0,0,3,0,0,0,0,1,0,0,6,0,0,8,0,0,9,0.0,5,0,3,3,30,3,0,0,0,6,0,0,1,0,0,0,0,8,36,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.1,0.1,0.0,0.25,0.35,1.0133333333333334,0.7260000000000002,0.1995,0.13636363636363635
20200505NCSS0,20200505,NC,SS,0,T,35,33,4,4,7,2,0,3,0,0,0,0,2,0,0,9,0,1,4,0.333333333,3,1,2,7,33,2,2,0,3,2,0,0,0,0,0,0,0,9,35,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.21212121212121213,0.5454545454545454,0.33333333333333326,0.2571428571428571,0.8025974025974025,4.7622857142857145,5.028,0.3358285714285714,0.19047619047619047
20200505OBLG0,20200505,LG,OB,0,B,36,30,6,8,10,6,1,1,1,1,0,0,5,0,1,6,1,0,4,0.5,8,4,2,10,30,2,6,1,1,5,1,0,1,1,1,0,0,6,36,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.3333333333333333,0.7,0.36666666666666664,0.4444444444444444,1.1444444444444444,8.975555555555555,7.481999999999999,0.4862777777777778,0.391304347826087
20200505OBLG0,20200505,OB,LG,0,T,34,30,2,2,6,1,0,1,0,0,0,1,3,0,0,9,1,0,5,0.0,2,0,4,6,30,4,1,0,1,3,0,1,0,1,0,0,0,9,34,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.2,0.3333333333333333,0.1333333333333333,0.2647058823529412,0.5980392156862745,2.6588235294117646,2.948,0.2695882352941177,0.23809523809523808
20200505WOHT0,20200505,HT,WO,0,B,37,32,2,2,6,1,0,0,0,0,0,0,4,0,1,7,2,0,8,0.2,10,2,5,6,32,5,1,0,0,4,1,0,0,2,0,0,0,7,37,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.1875,0.21875,0.03125,0.2972972972972973,0.5160472972972974,2.018918918918919,1.784,0.2604054054054054,0.24
20200505WOHT0,20200505,WO,HT,0,T,44,38,11,11,12,3,0,2,0,0,0,0,6,0,0,5,1,1,6,0.666666667,9,6,7,12,38,7,3,0,2,6,0,0,0,1,0,0,0,5,44,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.3157894736842105,0.5526315789473685,0.23684210526315796,0.4090909090909091,0.9617224880382775,8.716363636363637,7.829999999999997,0.4244772727272727,0.3225806451612903
20200506HHSK0,20200506,SK,HH,0,B,37,33,5,5,9,3,0,2,3,0,1,0,3,0,0,8,0,0,8,0.166666667,12,2,4,11,62,6,3,0,2,4,0,0,0,0,3,1,0,10,67,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.1774193548387097,0.3225806451612903,0.14516129032258063,0.22727272727272727,0.5498533724340176,5.176119402985074,5.309999999999998,0.24302985074626868,0.18
20200506HHSK0,20200506,HH,SK,0,T,35,31,2,2,5,1,0,1,0,0,0,0,4,0,0,5,1,2,6,0.166666667,6,1,3,13,62,8,4,0,1,6,0,0,1,2,0,2,0,10,70,0.7290000000000001,0.758,0.9359999999999999,1.281,1.591,1.954,0.20967741935483872,0.3225806451612903,0.1129032258064516,0.27941176470588236,0.6019924098671727,5.1657142857142855,4.889999999999999,0.2705714285714286,0.23529411764705882
