,P_ID,T_ID,PA,AVG,IsoP,OPS,XR,BABIP
0,61700,HH,93,0.15056497175141242,0.04067796610169492,0.3737288135593221,0.18937589563670498,0.157909604519774
1,62234,OB,330,0.21693333333333326,0.07373333333333333,0.5594666666666668,0.212932944606414,0.2407999999999999
2,62768,HH,212,0.25512820512820505,0.16773504273504275,0.7380341880341881,0.22618673843163647,0.2895299145299145
3,66209,OB,52,0.12291666666666667,0.01875,0.3041666666666667,0.18327988338192408,0.15
4,66244,OB,581,0.2958937198067634,0.20603864734299518,0.8694444444444444,0.26827227785524155,0.3345410628019324
5,66702,HH,145,0.14328358208955225,0.0,0.3087064676616915,0.18848178930420784,0.14925373134328357
6,66740,HH,510,0.3280112044817928,0.30014005602240895,1.0320728291316532,0.30591665237523596,0.3166666666666666
7,71347,HH,327,0.25397727272727266,0.03977272727272728,0.5861742424242424,0.2217499337397296,0.2984848484848484
8,71752,HH,407,0.3351063829787234,0.1994680851063829,0.9464539007092198,0.28472489299671244,0.3480496453900709
9,73602,HH,112,0.12948717948717947,0.07852564102564102,0.4548076923076923,0.19581744785826413,0.16153846153846152
10,73725,HH,48,0.16862745098039217,0.014705882352941176,0.42549019607843136,0.19464928828674324,0.17647058823529413
11,74206,OB,331,0.26941391941391934,0.13095238095238096,0.738095238095238,0.25152019991670144,0.3021978021978022
12,74729,HH,289,0.3031835205992508,0.27303370786516856,0.9662921348314607,0.2523077931011891,0.31741573033707865
13,75334,OB,466,0.30091145833333344,0.22994791666666664,0.8946614583333332,0.26817602040816335,0.3190104166666667
14,75808,HH,442,0.30063492063492064,0.1338095238095238,0.8149206349206349,0.26475912814105235,0.319047619047619
15,76232,OB,406,0.2629129129129128,0.16006006006006004,0.781981981981982,0.24540488009875772,0.2566066066066065
16,76249,OB,520,0.28834688346883464,0.13197831978319782,0.7966124661246612,0.2633008604138521,0.3079945799457994
17,76753,HH,473,0.31239316239316256,0.16111111111111112,0.8131054131054133,0.2591836734693877,0.334900284900285
18,77248,OB,390,0.20485564304461934,0.11706036745406824,0.5982939632545929,0.22112669589770662,0.2326771653543307
19,77464,HH,47,0.15277777777777776,0.03333333333333333,0.3972222222222222,0.1939067055393586,0.18888888888888886
20,78224,OB,636,0.33460648148148153,0.2594907407407407,1.0219907407407407,0.30365848720440547,0.3681712962962964
21,79215,OB,543,0.3478371501272265,0.19071246819338422,0.9563613231552162,0.2903745576747603,0.3583969465648856
22,79240,OB,422,0.23115384615384607,0.09166666666666667,0.6130769230769231,0.21803767660910522,0.25538461538461543
23,98144,HH,29,0.11875,0.0,0.2375,0.16716472303206997,0.125
24,60456,SS,51,0.1101190476190476,0.0,0.25595238095238093,0.177332361516035,0.11607142857142858
25,60648,HT,3,0.0,0.0,0.0,0.15996112730806608,0.0
26,61104,SS,82,0.11936936936936936,0.060810810810810814,0.32657657657657657,0.18466235915215498,0.12162162162162163
27,61404,SS,404,0.21897018970189697,0.09905149051490515,0.6153116531165312,0.22886297376093298,0.22872628726287256
28,62404,SS,647,0.30983796296296295,0.22685185185185183,0.9182870370370373,0.2885548266925817,0.35879629629629634
29,62415,SS,638,0.2679398148148148,0.09861111111111111,0.6850694444444446,0.25666707159054103,0.30543981481481486
