,P_ID,T_ID,PA,AVG,IsoP,OPS,XR,BABIP
0,60805,HH,2,0.0,0.0,0.5,0.25188536953242835,0.0
1,61353,WO,351,0.27149859943977583,0.12500000000000003,0.6996498599439775,0.2630083104131543,0.34019607843137256
2,62700,HH,517,0.24598108747044906,0.10307328605200945,0.636761229314421,0.25351133361145844,0.2937352245862884
3,62797,HH,236,0.22831050228310498,0.08881278538812785,0.6440639269406393,0.24604640591747734,0.2410958904109589
4,64300,WO,576,0.28578811369509044,0.17945736434108528,0.8178294573643412,0.29839933588223605,0.298062015503876
5,64346,WO,447,0.25842217484008523,0.13656716417910444,0.6932125088841506,0.2706017424191258,0.32848258706467665
6,64717,HH,224,0.265993265993266,0.10942760942760943,0.6962962962962963,0.2399865929277691,0.3013468013468013
7,66702,HH,50,0.16666666666666666,0.038690476190476185,0.4017857142857143,0.2227752639517346,0.17857142857142858
8,66716,HH,16,0.045454545454545456,0.0,0.09090909090909091,0.1950089126559715,0.045454545454545456
9,67341,WO,520,0.336871996505024,0.11858890345128877,0.8567496723460029,0.3213444587432711,0.36577107907383144
10,67394,WO,397,0.24305555555555547,0.20520833333333333,0.7707093253968259,0.28869406737053754,0.26874999999999993
11,68730,HH,590,0.2980046948356808,0.25105633802816896,0.9092723004694834,0.3134556964714379,0.3143192488262912
12,71752,HH,271,0.3116438356164384,0.1593607305936073,0.8235159817351599,0.2801338870637821,0.3353881278538813
13,74163,HH,575,0.2864427860696517,0.046019900497512436,0.7078358208955224,0.2794669187996665,0.33022388059701496
14,75125,WO,488,0.3414454277286135,0.388495575221239,1.1761272650653178,0.3538194583483494,0.35811209439528013
15,75808,HH,425,0.290359477124183,0.14362745098039215,0.7950980392156858,0.29090290716588263,0.30294117647058827
16,76746,WO,74,0.1706896551724138,0.041379310344827586,0.4724137931034484,0.22187548759556877,0.2040229885057471
17,76753,HH,460,0.28141592920353975,0.16946902654867255,0.7679941002949852,0.2834874998331528,0.32994100294985257
18,77564,WO,465,0.3008742559523808,0.11413690476190476,0.7787760416666668,0.2726244343891399,0.32838541666666665
19,78168,WO,160,0.3387387387387388,0.07747747747747749,0.8198198198198196,0.298552851494028,0.377927927927928
20,78288,HH,341,0.2263020833333333,0.05143229166666666,0.593359375,0.24155354449472052,0.27174479166666665
21,78756,HH,148,0.17589285714285713,0.026785714285714284,0.4217261904761905,0.2310008618832148,0.21875
22,79300,WO,39,0.04964539007092198,0.0,0.14007092198581558,0.20191906549853983,0.05319148936170213
23,79365,WO,128,0.20769230769230773,0.14444444444444443,0.6034188034188034,0.25714506709981827,0.21153846153846154
24,60558,KT,374,0.23541666666666658,0.1459635416666667,0.6550409226190478,0.2514069570135742,0.25781249999999994
25,62864,HT,365,0.20559999999999998,0.0768,0.5733333333333334,0.246981598793363,0.23520000000000002
26,63722,HT,101,0.1830601092896175,0.10382513661202185,0.5218579234972678,0.22685755260490062,0.18989071038251365
27,64006,KT,403,0.21962962962962956,0.09938271604938273,0.5801234567901233,0.2440154181330647,0.24765432098765436
28,66606,HT,331,0.25082508250825075,0.09504950495049505,0.6529702970297029,0.2541343727132891,0.2858085808580857
29,67025,KT,645,0.30381944444444453,0.28969907407407414,0.9800925925925927,0.32573319926261085,0.325
30,67650,HT,590,0.30394402035623397,0.15699745547073787,0.8431842966194112,0.31118786915823277,0.3472010178117048
31,68050,KT,585,0.27874396135265694,0.22367149758454108,0.8460144927536233,0.30388659365641446,0.3030193236714976
32,70410,HT,471,0.3228650137741046,0.1637741046831956,0.849173553719008,0.2980242573825458,0.3304407713498623
33,70553,KT,196,0.16564625850340137,0.04251700680272108,0.4404761904761905,0.21868747498999566,0.1930272108843537
34,70756,HT,380,0.2658415841584157,0.16171617161716173,0.7864686468646862,0.2851544882995083,0.2828382838283827
35,72443,HT,609,0.3304195804195805,0.19755244755244752,0.9305194805194803,0.31695725089390236,0.3564102564102566
36,73113,KT,528,0.24999999999999994,0.19296296296296298,0.7935802469135805,0.28423886933690834,0.2620987654320987
37,74215,KT,509,0.2690656565656565,0.16426767676767673,0.7650252525252529,0.2757415786827548,0.27664141414141413
38,74339,KT,480,0.31404958677685946,0.18016528925619835,0.8725895316804406,0.30523166672899266,0.32920110192837454
39,76313,KT,588,0.2862676056338028,0.22312206572769952,0.8640845070422536,0.3022114587980368,0.34119718309859154
40,76368,HT,40,0.17391304347826086,0.07789855072463768,0.4945652173913043,0.2348678601875533,0.18478260869565216
41,76849,HT,502,0.2894642857142856,0.09926587301587303,0.7410119047619048,0.28348164906988405,0.3340277777777777
