G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,P_ID,START_CK,RELIEF_CK,CG_CK,QUIT_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,CUM_ER,CUM_INN2,CUM_KK,CUM_BB,CUM_HIT,CUM_HR,CUM_AB,CUM_SF,CUM_HP,CUM_R,CUM_H2,CUM_H3,cFIP,ERA,K/9,BB/9,K/BB,WHIP,BABIP,DICE,FIP,kFIP,RA9,HR/9,H/9,OAVG,OOBP,OSLG,OOPS
20170331HHOB0,20170331,OB,HH,0,B,61240,1,0,0,0,W,0,24,112,30,26,4,0,0,0,0,1,1,0,3,0,0,7,0,1,0,0,0,0,0.6,0.857142857,1.5,0,24,7,3,4,0,26,0,0,0,0,0,3.735,0.0,7.875,3.375,2.3333333333333335,0.875,0.21052631578947367,2.375,3.11,3.985,0.0,0.0,4.5,0.15384615384615385,0.2413793103448276,0.15384615384615385,0.3952254641909815
20170331HHOB0,20170331,HH,OB,0,T,67742,1,0,0,0,L,0,18,89,22,18,1,1,0,0,2,0,0,2,0,0,2,6,0,0,0,0,2,0,0.0,0.166666667,0.0,0,18,6,0,1,0,18,2,2,2,1,0,3.735,0.0,9.0,0.0,0.0,0.16666666666666666,0.07142857142857142,2.0,2.735,3.735,3.0,0.0,1.5,0.05555555555555555,0.13636363636363635,0.16666666666666666,0.303030303030303
20170331HHOB0,20170331,OB,HH,0,B,73226,0,1,0,1,S,0,3,17,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,3,1,0,0,0,3,0,0,0,0,0,3.735,0.0,9.0,0.0,0.0,0.0,0.0,1.0,1.7349999999999999,2.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HHOB0,20170331,HH,OB,0,T,74167,0,1,0,1, ,0,3,22,6,5,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,1.5,0,3,1,1,2,0,5,0,0,0,0,0,3.735,0.0,9.0,9.0,1.0,3.0,0.5,4.0,4.734999999999999,5.734999999999999,0.0,0.0,18.0,0.4,0.5,0.4,0.9
20170331HHOB0,20170331,HH,OB,0,T,74731,0,1,0,0, ,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.735,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HHOB0,20170331,HH,OB,0,T,79764,0,1,0,0, ,0,2,18,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.0,3.0,0.0,0,2,1,0,1,0,3,0,0,0,0,0,3.735,0.0,13.5,0.0,0.0,1.5,0.5,0.0,0.7349999999999999,2.235,0.0,0.0,13.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666
20170331HHOB0,20170331,HH,OB,0,T,99737,0,1,0,0, ,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,1,0,0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
20170331HTSS0,20170331,HT,SS,0,T,60636,0,1,0,0, ,0,3,11,3,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0.0,0.0,0.0,0,3,1,1,0,0,2,0,0,0,0,0,3.735,0.0,9.0,9.0,1.0,1.0,0.0,4.0,4.734999999999999,5.734999999999999,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
20170331HTSS0,20170331,SS,HT,0,B,61365,0,1,0,0, ,0,2,6,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0,2,1,0,0,0,1,0,0,0,0,0,3.735,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.7349999999999999,2.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20170331HTSS0,20170331,HT,SS,0,T,62754,0,1,0,1, ,0,3,13,4,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,1.5,1,3,0,0,1,1,4,0,0,1,0,0,3.735,9.0,0.0,0.0,0.0,1.0,0.0,16.0,16.735,17.735,9.0,9.0,9.0,0.25,0.25,1.25,1.5
20170331HTSS0,20170331,SS,HT,0,B,66492,0,1,0,0, ,0,1,25,5,3,2,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,1,0,2,2,1,3,0,0,2,0,0,3.735,54.0,0.0,54.0,0.0,12.0,0.5,60.0,60.735,63.735,54.0,27.0,54.0,0.6666666666666666,0.8,2.0,2.8
20170331HTSS0,20170331,HT,SS,0,T,66643,1,0,0,0,W,0,21,91,26,25,6,1,0,1,0,0,1,0,0,0,0,6,0,1,0,0,1,1,0.0,0.857142857,1.285714286,1,21,6,0,6,1,25,0,0,1,1,0,3.735,1.2857142857142858,7.714285714285714,0.0,0.0,0.8571428571428571,0.2777777777777778,3.142857142857143,3.8778571428571427,4.877857142857143,1.2857142857142858,1.2857142857142858,7.714285714285714,0.24,0.24,0.48,0.72
20170331HTSS0,20170331,SS,HT,0,B,67435,1,0,0,0,L,0,19,104,26,24,4,1,1,1,0,0,0,0,2,0,0,2,0,0,0,0,2,1,1.0,0.947368421,1.5,1,19,2,2,4,1,24,0,0,2,1,1,3.735,1.4210526315789473,2.8421052631578947,2.8421052631578947,1.0,0.9473684210526316,0.14285714285714285,5.368421052631579,6.103421052631579,6.577105263157895,2.8421052631578947,1.4210526315789473,5.684210526315789,0.16666666666666666,0.23076923076923078,0.5416666666666666,0.7724358974358974
20170331HTSS0,20170331,SS,HT,0,B,67443,0,1,0,0, ,0,1,11,2,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,3.0,0.0,0.0,0,1,1,1,0,0,1,0,0,0,0,0,3.735,0.0,27.0,27.0,1.0,3.0,0.0,6.0,6.734999999999999,9.735,0.0,0.0,0.0,0.0,0.5,0.0,0.5
20170331HTSS0,20170331,SS,HT,0,B,74630,0,1,0,1, ,0,3,20,5,4,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0.0,0.0,6.0,1,3,1,1,1,1,4,0,0,1,0,0,3.735,9.0,9.0,9.0,1.0,2.0,0.0,17.0,17.735,19.735,9.0,9.0,9.0,0.25,0.4,1.25,1.65
20170331HTSS0,20170331,SS,HT,0,B,77446,0,1,0,0, ,0,1,14,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0.0,6.0,0.0,2,1,0,2,0,0,1,0,0,2,0,0,3.735,54.0,0.0,54.0,0.0,6.0,0.0,21.0,21.735,21.735,54.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6666666666666666
20170331KTSK0,20170331,KT,SK,0,T,64001,0,1,0,0, ,1,5,30,6,6,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.6,0.0,0,5,2,0,1,0,6,0,0,0,0,0,3.735,0.0,10.799999999999999,0.0,0.0,0.6,0.25,0.6000000000000001,1.335,2.535,0.0,0.0,5.3999999999999995,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333
20170331KTSK0,20170331,KT,SK,0,T,65062,0,1,0,1,S,0,3,13,4,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0,3,1,0,1,0,4,0,0,0,0,0,3.735,0.0,9.0,0.0,0.0,1.0,0.3333333333333333,1.0,1.7349999999999999,2.735,0.0,0.0,9.0,0.25,0.25,0.25,0.5
20170331KTSK0,20170331,KT,SK,0,T,65067,0,1,0,0, ,1,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,3.735,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.735,3.735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
