G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP,WLS
20160401HHLG0,20160401,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3,0.2826086956521739,0.32608695652173914,0.04347826086956525,0.32653061224489793,0.6526175687666371,5.001923076923077,4.659999999999998,0.29175,0.3611111111111111,W
20160401HHLG0,20160401,LG,HH,0,B,47,42,4,5,9,2,0,1,2,1,1,0,4,0,0,11,0,0,8,0.333333333,12,4,0.21428571428571427,0.3333333333333333,0.11904761904761905,0.2826086956521739,0.6159420289855072,4.238297872340427,4.261999999999999,0.2786382978723404,0.26666666666666666,L
20160401HTNC0,20160401,HT,NC,0,T,38,34,3,4,8,3,0,1,0,0,0,0,3,0,1,10,1,0,7,0.1,10,1,0.2352941176470588,0.4117647058823529,0.1764705882352941,0.3157894736842105,0.7275541795665634,4.353684210526316,4.169999999999999,0.3291578947368421,0.3043478260869565,W
20160401HTNC0,20160401,NC,HT,0,B,36,30,5,5,9,2,0,2,0,0,1,0,5,0,0,9,1,1,7,0.14285714300000002,7,1,0.3,0.5666666666666667,0.26666666666666666,0.4,0.9666666666666668,6.796111111111111,6.228,0.41102777777777777,0.3684210526315789,L
20160401KTSK0,20160401,SK,KT,0,B,36,36,4,4,10,5,0,1,0,0,0,0,0,0,0,7,1,1,5,0.375,8,3,0.2777777777777778,0.5,0.2222222222222222,0.2777777777777778,0.7777777777777778,4.5,4.273999999999999,0.33441666666666664,0.32142857142857145,L
20160401KTSK0,20160401,KT,SK,0,T,42,36,7,8,11,0,0,2,2,1,0,1,4,0,1,7,0,0,7,0.28571428600000004,7,2,0.3055555555555556,0.4722222222222222,0.16666666666666666,0.3809523809523809,0.8531746031746031,7.092857142857143,7.183999999999998,0.3822380952380953,0.32142857142857145,W
20160401LTWO0,20160401,LT,WO,0,T,39,37,1,2,11,2,0,0,1,0,0,0,2,0,0,6,2,0,10,0.071428571,14,1,0.2972972972972973,0.35135135135135137,0.054054054054054064,0.3333333333333333,0.6846846846846847,3.96,3.671999999999999,0.3214358974358974,0.3548387096774194,L
20160401LTWO0,20160401,WO,LT,0,B,36,30,1,1,6,1,0,0,0,2,0,1,5,0,0,6,0,1,8,0.0,5,0,0.2,0.2333333333333333,0.033333333333333326,0.3055555555555556,0.538888888888889,2.205,2.4419999999999997,0.2702222222222222,0.24,W
20160401OBSS0,20160401,OB,SS,0,T,37,31,4,5,8,0,0,2,2,1,1,1,3,0,1,3,1,0,5,0.14285714300000002,7,1,0.25806451612903225,0.4516129032258064,0.1935483870967742,0.3333333333333333,0.7849462365591398,4.627027027027028,5.226,0.3371621621621622,0.2222222222222222,L
20160401OBSS0,20160401,SS,OB,0,B,35,32,1,1,8,0,0,0,1,1,0,0,2,0,1,6,2,1,7,0.25,4,1,0.25,0.25,0.0,0.3142857142857143,0.5642857142857143,2.125714285714285,1.9319999999999988,0.2805714285714286,0.3076923076923077,W
