,G_ID,GDAY_DS,T_ID,VS_T_ID,CG_CK,WLS,HOLD,INN2,BF,PA,AB,HIT,H1,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,WP,BK,ERR,R,ER,P_WHIP_RT,P2_WHIP_RT,CB_WHIP_RT,K/BB,OOPS,WHIP,BABIP,kFIP,HEADER_NO_1,HEADER_NO_2,TB_SC_T
0,20160401HHLG0,20160401,LG,HH,0,W,0,36,184,0.7291666666666666,0.8846153846153846,0.25,0.21153846153846154,0.038461538461538464,0.0,0.0,0,0,0.057692307692307696,0.0,0.057692307692307696,0.0,0.0,0.19230769230769232,1,0,0,0.0,4,4,0.03571428572222222,0.0612244898095238,0.19999999999999998,0.23809523809523805,0.6526175687666371,0.29530201342281875,0.3611111111111111,0.1004081632653061,0,0,0
1,20160401HHLG0,20160401,HH,LG,0,L,0,34,196,0.625,0.8936170212765957,0.19148936170212766,0.1276595744680851,0.0425531914893617,0.0,0.02127659574468085,2,1,0.02127659574468085,0.0,0.0851063829787234,0.0,0.0,0.23404255319148937,0,1,0,0.0,5,4,0.08333333333333333,0.047619047619047616,0.0625,0.19642857142857142,0.6159420289855072,0.25029609159099875,0.26666666666666666,0.18654261704681874,0,0,1
2,20160401HTNC0,20160401,NC,HT,0,W,0,27,143,0.4375,0.8947368421052632,0.21052631578947367,0.10526315789473684,0.07894736842105263,0.0,0.02631578947368421,0,0,0.0,0.0,0.07894736842105263,0.0,0.02631578947368421,0.2631578947368421,1,1,0,0.0,4,4,0.07407407405555555,0.049450549428571425,0.17857142858333333,0.23809523809523805,0.7275541795665634,0.2684563758389262,0.3043478260869565,0.21435374149659864,0,0,0
3,20160401HTNC0,20160401,HT,NC,0,L,0,24,147,0.39583333333333337,0.8333333333333334,0.25,0.1388888888888889,0.05555555555555555,0.0,0.05555555555555555,0,0,0.027777777777777776,0.0,0.1388888888888889,0.0,0.0,0.25,1,0,0,0.0,5,5,0.027777777777777776,0.0807453416190476,0.15625,0.12857142857142856,0.9666666666666668,0.39597315436241604,0.3684210526315789,0.3657142857142857,0,0,1
4,20160401KTSK0,20160401,SK,KT,0,L,0,27,151,0.5208333333333334,0.8571428571428571,0.2619047619047619,0.21428571428571427,0.0,0.0,0.047619047619047616,2,1,0.0,0.023809523809523808,0.09523809523809523,0.0,0.023809523809523808,0.16666666666666666,0,0,0,0.0,8,8,0.05555555555555555,0.11224489795238095,0.1875,0.125,0.8531746031746031,0.3758389261744966,0.32142857142857145,0.35040816326530616,0,0,0
5,20160401KTSK0,20160401,KT,SK,0,W,0,27,147,0.39583333333333337,1.0,0.2777777777777778,0.1111111111111111,0.1388888888888889,0.0,0.027777777777777776,0,0,0.0,0.0,0.0,0.0,0.0,0.19444444444444445,1,0,0,0.0,4,4,0.09999999999999999,0.08333333333333333,0.02272727275,0.0,0.7777777777777778,0.24161073825503357,0.32142857142857145,0.1531292517006803,0,0,1
6,20160401LTWO0,20160401,WO,LT,0,L,0,27,145,0.45833333333333337,0.9487179487179487,0.28205128205128205,0.23076923076923078,0.05128205128205128,0.0,0.0,1,0,0.0,0.0,0.05128205128205128,0.0,0.0,0.15384615384615385,2,0,0,0.0,2,1,0.013888888888888888,0.06878306876190476,0.06818181816666666,0.21428571428571427,0.6846846846846847,0.3221476510067114,0.3548387096774194,0.1055102040816327,0,0,0
7,20160401LTWO0,20160401,LT,WO,0,W,4,27,138,0.39583333333333337,0.8333333333333334,0.16666666666666666,0.1388888888888889,0.027777777777777776,0.0,0.0,0,2,0.0,0.027777777777777776,0.1388888888888889,0.0,0.0,0.16666666666666666,0,0,0,0.3333333333333333,1,0,0.0,0.05820105819047619,0.08333333333333333,0.0857142857142857,0.538888888888889,0.2684563758389262,0.24,0.16673469387755108,0,0,1
8,20160401OBSS0,20160401,SS,OB,0,L,0,27,147,0.41666666666666663,0.8378378378378378,0.21621621621621623,0.16216216216216217,0.0,0.0,0.05405405405405406,2,1,0.02702702702702703,0.02702702702702703,0.08108108108108109,0.0,0.02702702702702703,0.08108108108108109,1,0,0,0.3333333333333333,5,4,0.020833333333333332,0.12244897957142857,0.25,0.07142857142857142,0.7849462365591398,0.2684563758389262,0.2222222222222222,0.3572108843537415,0,0,0
9,20160401OBSS0,20160401,OB,SS,0,W,1,27,146,0.375,0.9142857142857143,0.22857142857142856,0.22857142857142856,0.0,0.0,0.0,1,1,0.0,0.0,0.05714285714285714,0.0,0.02857142857142857,0.17142857142857143,2,1,0,0.0,1,1,0.05555555555555555,0.09523809523809523,0.13888888891666668,0.21428571428571427,0.5642857142857143,0.24161073825503357,0.3076923076923077,0.1259183673469388,0,0,1
10,20160402HHLG0,20160402,LG,HH,0,W,2,33,176,0.6874999999999999,0.86,0.26,0.18,0.08,0.0,0.0,0,1,0.04,0.0,0.06,0.02,0.04,0.18,0,0,0,0.0,7,7,0.10606060605555555,0.06060606061904762,0.125,0.21428571428571427,0.7703488372093024,0.324588163514338,0.38235294117647056,0.13890538033395178,0,0,0
11,20160402HHLG0,20160402,HH,LG,0,L,0,30,222,0.6666666666666666,0.8163265306122449,0.24489795918367346,0.16326530612244897,0.04081632653061224,0.02040816326530612,0.02040816326530612,1,2,0.0,0.0,0.16326530612244897,0.0,0.02040816326530612,0.1836734693877551,0,1,0,0.3333333333333333,8,8,0.2222222222222222,0.10052910052380952,0.25,0.08035714285714285,0.9035714285714284,0.45637583892617445,0.36666666666666653,0.3014285714285715,0,0,1
12,20160402HTNC0,20160402,NC,HT,0,L,0,27,152,0.45833333333333337,0.8461538461538461,0.20512820512820512,0.1282051282051282,0.05128205128205128,0.0,0.02564102564102564,1,1,0.02564102564102564,0.0,0.1282051282051282,0.0,0.0,0.20512820512820512,0,0,0,0.0,4,4,0.19999999999999998,0.07142857142857142,0.21428571425,0.11428571428571428,0.7360446570972887,0.3221476510067114,0.2916666666666667,0.24836734693877555,0,0,0
13,20160402HTNC0,20160402,HT,NC,0,W,0,27,146,0.39583333333333337,0.9166666666666666,0.19444444444444445,0.1388888888888889,0.027777777777777776,0.0,0.027777777777777776,1,0,0.0,0.0,0.05555555555555555,0.0,0.027777777777777776,0.1388888888888889,1,0,0,0.0,3,3,0.041666666666666664,0.028571428571428567,0.125,0.17857142857142855,0.6111111111111112,0.21476510067114093,0.2222222222222222,0.22795918367346946,0,0,1
14,20160402KTSK0,20160402,SK,KT,0,W,0,30,162,0.5,0.8292682926829268,0.1951219512195122,0.1951219512195122,0.0,0.0,0.0,0,2,0.024390243902439025,0.0,0.14634146341463414,0.0,0.0,0.07317073170731707,2,1,0,0.3333333333333333,3,2,0.10416666666666666,0.06666666666666665,0.03571428575,0.03571428571428571,0.5852941176470587,0.3114093959731543,0.25806451612903225,0.1973469387755103,0,0,0
15,20160402KTSK0,20160402,KT,SK,0,L,0,28,173,0.5625,0.8409090909090909,0.22727272727272727,0.1590909090909091,0.045454545454545456,0.0,0.022727272727272728,2,0,0.0,0.0,0.13636363636363635,0.045454545454545456,0.022727272727272728,0.13636363636363635,1,1,0,0.0,4,4,0.10416666666666666,0.08163265304761905,0.16666666666666666,0.07142857142857142,0.7917690417690417,0.38734419942473625,0.3,0.2957434402332362,0,0,1
16,20160402LTWO0,20160402,WO,LT,0,W,3,27,167,0.45833333333333337,0.8717948717948718,0.20512820512820512,0.1282051282051282,0.07692307692307693,0.0,0.0,2,1,0.0,0.0,0.1282051282051282,0.0,0.0,0.23076923076923078,0,0,0,0.0,3,3,0.06666666666666667,0.06015037595238095,0.045454545416666665,0.12857142857142856,0.6568627450980392,0.3221476510067114,0.32,0.14632653061224493,0,0,0
