,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
0,20180324HHWO0,20180324,HH,WO,0,T,38,37,2,3,13,0,1,0,1,0,0,0,1,0,0,9,0,1,8,0.230769231,13,3,12,13,37,12,0,1,0,1,0,0,0,0,1,0,0,9,38,0.726,0.753,0.92,1.242,1.533,1.857,0.35135135135135137,0.40540540540540543,0.054054054054054064,0.3684210526315789,0.7738264580369844,0.23216203774742977,0.33627963037364406,0.3499736842105263,0.4642857142857143
1,20180325HHWO0,20180325,HH,WO,0,T,39,36,4,4,11,3,0,1,2,1,0,0,1,0,2,9,1,0,8,0.272727273,11,3,7,24,73,19,3,1,1,2,2,0,1,1,3,0,0,18,77,0.726,0.753,0.92,1.242,1.533,1.857,0.3287671232876712,0.4383561643835616,0.1095890410958904,0.3636363636363637,0.8019925280199253,0.23122673245122222,0.3433105664925673,0.35784415584415585,0.4259259259259259
2,20180327HHNC0,20180327,HH,NC,0,T,41,34,6,6,10,0,0,2,0,0,0,0,5,0,2,6,2,1,8,0.4,5,2,8,34,107,27,3,1,3,7,4,0,1,3,3,0,0,24,118,0.726,0.753,0.92,1.242,1.533,1.857,0.3177570093457944,0.4485981308411215,0.13084112149532712,0.3813559322033898,0.8299540630445112,0.2609713432411292,0.38569706709521895,0.37088135593220334,0.3875
3,20180328HHNC0,20180328,HH,NC,0,T,41,37,6,6,10,1,0,1,3,0,0,0,4,0,0,5,0,0,8,0.5,8,4,8,44,144,35,4,1,4,11,4,0,1,3,6,0,0,29,159,0.726,0.753,0.92,1.242,1.533,1.857,0.3055555555555556,0.4305555555555556,0.125,0.3710691823899371,0.8016247379454926,0.22622768968214463,0.34943752511048615,0.3592893081761006,0.3603603603603603
4,20180329HHNC0,20180329,HH,NC,0,T,35,33,1,1,6,2,0,0,0,0,0,0,2,0,0,4,1,2,7,0.166666667,6,1,4,50,177,39,6,1,4,13,4,0,1,4,6,0,0,33,194,0.726,0.753,0.92,1.242,1.533,1.857,0.2824858757062147,0.3954802259887006,0.11299435028248588,0.34536082474226804,0.7408410507309686,0.0644198250728863,0.13338690237042994,0.3337268041237113,0.32857142857142857
5,20180330SKHH0,20180330,HH,SK,0,B,36,34,3,4,9,1,0,1,0,3,0,0,2,0,0,9,0,1,5,0.1,10,1,7,59,211,46,7,1,5,15,4,0,4,4,6,0,0,42,230,0.726,0.753,0.92,1.242,1.533,1.857,0.2796208530805687,0.3933649289099526,0.1137440758293839,0.3391304347826087,0.7324953636925613,0.11749919015225137,0.2222780233025312,0.3292782608695652,0.32926829268292684
6,20180331SKHH0,20180331,HH,SK,0,B,37,33,1,1,8,1,1,1,0,0,0,0,3,0,1,10,2,1,9,0.0,8,0,5,67,244,51,8,2,6,18,5,0,4,6,6,0,0,52,267,0.726,0.753,0.92,1.242,1.533,1.857,0.27459016393442626,0.3975409836065574,0.12295081967213113,0.33707865168539325,0.7346196352919506,0.16078165629186028,0.2690839694656489,0.3292022471910112,0.3279569892473118
7,20180401SKHH0,20180401,HH,SK,0,B,31,31,1,1,4,0,0,1,0,0,0,0,0,0,0,10,0,1,3,0.0,1,0,3,71,275,54,8,2,7,18,5,0,4,6,6,0,0,62,298,0.726,0.753,0.92,1.242,1.533,1.857,0.2581818181818182,0.3781818181818182,0.12,0.31543624161073824,0.6936180597925564,0.03173516411172764,0.09029730815588592,0.31044966442953026,0.3106796116504854
8,20180403LTHH0,20180403,HH,LT,0,B,46,33,14,17,11,3,0,2,2,0,1,3,8,1,1,5,0,2,5,0.5,12,6,6,82,308,60,11,2,9,26,6,3,4,6,8,1,1,67,344,0.726,0.753,0.92,1.242,1.533,1.857,0.2662337662337662,0.4025974025974026,0.1363636363636364,0.3323615160349854,0.7349589186323879,0.44207377360882244,0.5960224989955806,0.32451603498542275,0.31063829787234043
9,20180404LTHH0,20180404,HH,LT,0,B,39,31,5,7,10,2,1,0,0,1,0,0,6,0,2,10,3,1,8,0.3,10,3,7,92,339,67,13,3,9,32,8,3,5,9,8,1,1,77,383,0.726,0.753,0.92,1.242,1.533,1.857,0.2713864306784661,0.4070796460176992,0.13569321533923304,0.3455497382198953,0.7526293842375944,0.2304732002691186,0.33487344314985934,0.33410471204188485,0.32421875
