,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
0,20160401HHLG0,20160401,HH,LG,0,T,52,46,4,4,13,2,0,0,0,0,3,0,3,0,0,10,1,2,12,0.2,15,3,11,13,46,11,2,0,0,3,0,0,0,1,0,3,0,10,52,0.747,0.774,0.944,1.273,1.569,1.898,0.2826086956521739,0.32608695652173914,0.04347826086956525,0.32653061224489793,0.6526175687666371,0.2358810653882318,0.35811995790950546,0.29175,0.3611111111111111
1,20160402HHLG0,20160402,HH,LG,0,T,50,43,7,7,13,4,0,0,0,1,2,0,3,1,2,9,0,1,10,0.333333333,15,5,9,26,89,20,6,0,0,6,2,0,1,1,0,5,1,19,102,0.747,0.774,0.944,1.273,1.569,1.898,0.2921348314606741,0.3595505617977528,0.06741573033707865,0.3505154639175257,0.7100660257152785,0.30785480611439536,0.43516894656845573,0.31486138613861386,0.37142857142857133
2,20160405WOHH0,20160405,HH,WO,0,B,41,35,8,9,13,4,0,0,1,0,0,1,4,0,1,1,1,1,8,0.428571429,14,6,9,39,124,29,10,0,0,10,3,1,1,2,1,5,1,20,143,0.747,0.774,0.944,1.273,1.569,1.898,0.3145161290322581,0.3951612903225806,0.08064516129032256,0.37681159420289856,0.7719728845254792,0.3820841500087517,0.510814918741962,0.34613380281690137,0.37142857142857133
3,20160406WOHH0,20160406,HH,WO,0,B,36,35,4,4,11,3,0,2,1,0,1,0,0,0,0,5,1,0,5,0.222222222,9,2,6,50,159,35,13,0,2,10,3,1,1,3,2,6,1,25,179,0.747,0.774,0.944,1.273,1.569,1.898,0.31446540880503143,0.4339622641509434,0.11949685534591198,0.36416184971098253,0.7981241138619259,0.2767080744934524,0.41833274874313114,0.3507303370786517,0.3609022556390977
4,20160407WOHH0,20160407,HH,WO,0,B,40,39,3,3,12,2,0,2,0,0,0,0,0,0,1,10,0,1,10,0.181818182,11,2,8,62,198,43,15,0,4,10,4,1,1,3,2,6,1,35,219,0.747,0.774,0.944,1.273,1.569,1.898,0.31313131313131315,0.4494949494949495,0.13636363636363635,0.3568075117370892,0.8063024612320386,0.3125697820652424,0.44522389804746887,0.3536605504587156,0.3625
5,20160408HHNC0,20160408,HH,NC,0,T,39,31,4,4,5,2,0,1,0,0,0,0,6,0,2,9,1,1,8,0.2,5,1,2,67,229,45,17,0,5,16,6,1,1,4,2,6,1,44,258,0.747,0.774,0.944,1.273,1.569,1.898,0.2925764192139738,0.43231441048034935,0.13973799126637554,0.3531746031746032,0.7854890136549526,0.17361236963449697,0.30889746287852227,0.3480933852140077,0.3425414364640884
6,20160409HHNC0,20160409,HH,NC,0,T,32,29,1,1,7,0,0,0,0,1,1,0,2,0,0,8,3,0,4,0.5,2,1,7,74,258,52,17,0,5,18,6,1,2,7,2,7,1,52,290,0.747,0.774,0.944,1.273,1.569,1.898,0.2868217054263566,0.4108527131782946,0.12403100775193797,0.3462897526501767,0.7571424658284713,0.0543727562677036,0.1293113527417281,0.3375847750865052,0.3415841584158416
7,20160410HHNC0,20160410,HH,NC,0,T,38,29,2,2,6,1,0,0,0,0,4,0,4,0,1,12,0,0,9,0.181818182,11,2,5,80,287,57,18,0,5,22,7,1,2,7,2,11,1,64,328,0.747,0.774,0.944,1.273,1.569,1.898,0.2787456445993031,0.3937282229965157,0.11498257839721256,0.3438485804416404,0.7375768034381559,0.13910115720191463,0.25605050859347606,0.3281865443425077,0.3424657534246575
8,20160412OBHH0,20160412,HH,OB,0,B,37,34,1,2,9,2,0,0,0,0,0,0,2,0,1,7,3,0,8,0.181818182,11,2,7,89,321,64,20,0,5,24,8,1,2,10,2,11,1,71,365,0.747,0.774,0.944,1.273,1.569,1.898,0.2772585669781931,0.3862928348909657,0.1090342679127726,0.3418079096045198,0.7281007444954855,0.13234941646977902,0.23442067110955223,0.3262060439560439,0.3414634146341464
9,20160413OBHH0,20160413,HH,OB,0,B,43,40,3,3,15,5,2,0,1,0,0,0,3,0,0,12,1,2,13,0.066666667,15,1,8,104,361,72,25,2,5,27,8,1,2,11,3,11,1,83,408,0.747,0.774,0.944,1.273,1.569,1.898,0.2880886426592798,0.4099722991689751,0.12188365650969528,0.3501259445843829,0.760098243753358,0.47819121495803507,0.5629603647842863,0.3391523341523342,0.3613138686131387
10,20160414OBHH0,20160414,HH,OB,0,B,32,31,1,2,5,0,0,0,0,0,0,0,0,0,1,10,2,2,3,0.166666667,6,1,5,109,392,77,25,2,5,27,9,1,2,13,3,11,1,93,440,0.747,0.774,0.944,1.273,1.569,1.898,0.2780612244897959,0.3903061224489796,0.11224489795918367,0.337995337995338,0.7283014604443176,0.025358451534202648,0.06699403717993689,0.3269453302961276,0.3525423728813559
11,20160415LGHH0,20160415,HH,LG,0,B,35,33,1,2,9,0,0,0,0,0,0,0,2,0,0,4,4,3,6,0.090909091,11,1,9,118,425,86,25,2,5,29,9,1,2,17,3,11,1,97,475,0.747,0.774,0.944,1.273,1.569,1.898,0.2776470588235294,0.3811764705882353,0.10352941176470587,0.3362068965517241,0.7173833671399594,0.08576150932177497,0.17385712615456572,0.3238797468354431,0.3487654320987654
12,20160417LGHH0,20160417,HH,LG,0,B,43,34,4,4,7,0,0,0,1,0,0,0,8,2,1,11,2,0,12,0.14285714300000002,7,1,7,125,459,93,25,2,5,37,10,1,2,19,4,11,3,108,518,0.747,0.774,0.944,1.273,1.569,1.898,0.27233115468409586,0.3681917211328976,0.09586056644880177,0.3392504930966469,0.7074422142295446,0.14085502118511017,0.2787326084414826,0.32113203883495145,0.345821325648415
13,20160419HHLT0,20160419,HH,LT,0,T,44,38,3,3,8,0,0,1,0,0,0,0,6,0,0,11,0,1,11,0.2,5,1,7,133,497,100,25,2,6,43,10,1,2,19,4,11,3,119,562,0.747,0.774,0.944,1.273,1.569,1.898,0.2676056338028169,0.36217303822937613,0.09456740442655936,0.33756805807622503,0.6997410963056012,0.18715353630925005,0.3307611364433532,0.31908944543828266,0.3404825737265416
14,20160420HHLT0,20160420,HH,LT,0,T,38,36,4,4,10,1,0,1,0,0,0,0,2,0,0,3,1,1,7,0.375,8,3,8,143,533,108,26,2,7,45,10,1,2,20,4,11,3,122,600,0.747,0.774,0.944,1.273,1.569,1.898,0.2682926829268293,0.36397748592870544,0.09568480300187616,0.3361629881154499,0.7001404740441554,0.19717439915614524,0.32573366070384663,0.3192428810720268,0.3358024691358025
15,20160421HHLT0,20160421,HH,LT,0,T,46,33,9,9,13,3,0,0,2,2,4,1,8,1,0,10,0,0,10,0.333333333,15,5,10,156,566,118,29,2,7,53,10,2,4,20,6,15,4,132,646,0.747,0.774,0.944,1.273,1.569,1.898,0.2756183745583039,0.3710247349823322,0.09540636042402828,0.34706814580031703,0.7180928807826492,0.42302587335041164,0.562726528703379,0.3256635514018692,0.3473193473193473
16,20160422HHOB0,20160422,HH,OB,0,T,38,33,2,2,7,1,0,1,0,0,1,0,4,0,0,6,0,0,9,0.25,8,2,5,163,599,123,30,2,8,57,10,2,4,20,6,16,4,138,684,0.747,0.774,0.944,1.273,1.569,1.898,0.27212020033388984,0.3689482470784641,0.09682804674457428,0.344311377245509,0.713259624323973,0.16968078702322445,0.3003624459254064,0.3234632352941177,0.3406593406593407
17,20160423HHOB0,20160423,HH,OB,0,T,34,33,2,2,6,0,0,1,0,0,0,0,1,0,0,9,0,0,5,0.25,4,1,5,169,632,128,30,2,9,58,10,2,4,20,6,16,4,147,718,0.747,0.774,0.944,1.273,1.569,1.898,0.2674050632911392,0.3639240506329114,0.09651898734177217,0.33760683760683763,0.7015308882397491,0.08588122940516506,0.1896410616158074,0.3183753501400561,0.3347280334728033
