,G_ID,GDAY_DS,T_ID,VS_T_ID,HEADER_NO,TB_SC,PA,AB,RBI,RUN,HIT,H2,H3,HR,SB,CS,SH,SF,BB,IB,HP,KK,GD,ERR,LOB,P_HRA_RT,P_AB_CN,P_HIT_CN,H1,CUM_HIT,CUM_AB,CUM_H1,CUM_H2,CUM_H3,CUM_HR,CUM_BB,CUM_HP,CUM_SF,CUM_CS,CUM_GD,CUM_SB,CUM_SH,CUM_IB,CUM_KK,CUM_PA,wBB,wHBP,w1B,w2B,w3B,wHR,AVG,SLG,IsoP,OBP,OPS,RC,XR,wOBA,BABIP
0,20170331HHOB0,20170331,HH,OB,0,T,33,29,0,0,4,0,0,0,0,1,1,0,3,0,0,8,0,4,6,0.0,4,0,4,4,29,4,0,0,0,3,0,0,1,0,0,1,0,8,33,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.13793103448275862,0.13793103448275862,0.0,0.21875,0.3566810344827586,0.033996075812937884,0.09847727020117818,0.17854545454545456,0.19047619047619047
1,20170401HHOB0,20170401,HH,OB,0,T,54,44,6,6,16,2,0,1,0,0,4,0,6,1,0,8,0,1,15,0.15,20,3,13,20,73,17,2,0,1,9,0,0,1,0,0,5,1,16,87,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.273972602739726,0.3424657534246575,0.0684931506849315,0.35365853658536583,0.6961242900100233,0.4073209847685034,0.5697454707124596,0.30234883720930233,0.3392857142857143
2,20170402HHOB0,20170402,HH,OB,0,T,54,44,4,4,8,1,1,1,2,0,0,0,7,0,3,9,0,2,14,0.181818182,11,2,5,28,117,22,3,1,2,16,3,0,1,0,2,5,1,25,141,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2393162393162393,0.3333333333333333,0.094017094017094,0.34558823529411764,0.678921568627451,0.2386353850128563,0.41647215738579524,0.3051357142857143,0.2888888888888889
3,20170404NCHH0,20170404,HH,NC,0,B,37,31,6,6,10,3,0,1,0,1,2,0,2,0,2,5,2,1,7,0.25,12,3,6,38,148,28,6,1,3,18,5,0,2,2,2,7,1,30,178,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.25675675675675674,0.3716216216216216,0.11486486486486484,0.3567251461988304,0.728346767820452,0.2176208293723641,0.35545181727242414,0.3216214689265537,0.3043478260869565
4,20170406NCHH0,20170406,HH,NC,0,B,37,34,2,2,8,1,0,1,0,0,0,0,1,0,2,7,2,1,8,0.14285714300000002,7,1,6,46,182,34,7,1,4,19,7,0,2,4,2,7,1,37,215,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.25274725274725274,0.36813186813186816,0.11538461538461542,0.3461538461538461,0.7142857142857143,0.12328032423255286,0.24397021229298657,0.3172383177570094,0.2978723404255319
5,20170407HHHT0,20170407,HH,HT,0,T,38,37,2,2,10,2,1,0,0,0,0,0,1,0,0,3,1,0,9,0.0,8,0,7,56,219,41,9,2,4,20,7,0,2,5,2,7,1,40,253,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2557077625570776,0.3698630136986301,0.1141552511415525,0.33739837398373984,0.7072613876823699,0.15008554690122078,0.2690896965655218,0.3142142857142857,0.29714285714285715
6,20170408HHHT0,20170408,HH,HT,0,T,42,38,4,4,12,2,1,0,0,0,0,0,4,0,0,7,1,0,11,0.307692308,13,4,9,68,257,50,11,3,4,24,7,0,2,6,2,7,1,47,295,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.264591439688716,0.37743190661478604,0.11284046692607005,0.34375,0.721181906614786,0.2471980610951859,0.38457263532288544,0.32147278911564625,0.3106796116504854
7,20170409HHHT0,20170409,HH,HT,0,T,37,35,2,2,13,0,0,0,0,2,0,1,1,0,0,4,1,0,8,0.125,8,1,13,81,292,63,11,3,4,25,7,1,4,7,2,7,1,51,332,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2773972602739726,0.3767123287671233,0.0993150684931507,0.3476923076923077,0.7244046364594309,0.16440945454392297,0.30754696009781035,0.32414501510574023,0.3235294117647059
8,20170411HHSS0,20170411,HH,SS,0,T,50,43,11,11,14,1,0,1,1,0,0,0,7,0,0,7,0,2,9,0.583333333,12,7,12,95,335,75,12,3,5,32,7,1,4,7,3,7,1,58,382,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2835820895522388,0.38208955223880603,0.09850746268656717,0.3573333333333333,0.7394228855721393,0.3494720913352115,0.5223963543403357,0.33247244094488193,0.3296703296703297
9,20170412HHSS0,20170412,HH,SS,0,T,35,31,5,5,7,1,1,0,0,0,0,1,3,0,0,9,3,1,3,0.4,5,2,5,102,366,80,13,4,5,35,7,2,4,10,3,7,1,67,417,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2786885245901639,0.3770491803278688,0.09836065573770493,0.35121951219512193,0.7282686925229908,0.08795607117519447,0.20306768922974328,0.32766346153846154,0.3277027027027027
10,20170413HHSS0,20170413,HH,SS,0,T,32,30,1,1,4,2,0,1,0,0,0,0,2,1,0,10,1,2,4,0.0,3,0,1,106,396,81,15,4,6,37,7,2,4,11,3,7,2,77,449,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2676767676767677,0.3712121212121212,0.10353535353535354,0.3393665158371041,0.7105786370492253,0.05411045872650697,0.14038012670890293,0.31852796420581664,0.31746031746031744
11,20170414SKHH0,20170414,HH,SK,0,B,34,32,2,2,6,1,0,1,1,0,0,0,1,0,1,12,1,1,5,0.166666667,6,1,4,112,428,85,16,4,7,38,8,2,4,12,4,7,2,89,483,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2616822429906542,0.3668224299065421,0.10514018691588788,0.3319327731092437,0.6987552030157858,0.0884947362555371,0.19784372568633987,0.3133762993762993,0.3143712574850299
12,20170415SKHH0,20170415,HH,SK,0,B,44,39,2,4,13,1,0,0,0,0,1,0,4,0,0,8,0,1,13,0.2,10,2,12,125,467,97,17,4,7,42,8,2,4,12,4,8,2,97,527,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2676659528907923,0.36616702355460384,0.09850107066381153,0.3371868978805395,0.7033539214351434,0.24412220081056127,0.3924641547182395,0.3162457142857143,0.3232876712328767
13,20170416SKHH0,20170416,HH,SK,0,B,35,31,1,1,6,0,0,0,0,0,1,1,2,0,0,8,0,1,7,0.0,4,0,6,131,498,103,17,4,7,44,8,3,4,12,4,9,2,105,562,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.26305220883534136,0.35542168674698793,0.09236947791164657,0.3309222423146474,0.6863439290616353,0.06581203941783645,0.17350227853729022,0.3090125,0.31876606683804626
14,20170418LGHH0,20170418,HH,LG,0,B,34,31,2,3,6,1,1,0,0,1,1,0,2,0,0,4,2,0,6,0.125,8,1,4,137,529,107,18,5,7,46,8,3,5,14,4,10,2,109,596,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2589792060491493,0.3516068052930057,0.09262759924385637,0.32593856655290104,0.6775453718459068,0.055342349038086006,0.13804601533844613,0.30476094276094273,0.3125
15,20170419LGHH0,20170419,HH,LG,0,B,33,29,3,3,8,1,0,0,0,1,0,0,4,0,0,4,1,2,6,0.5,6,3,7,145,558,114,19,5,7,50,8,3,6,15,4,10,2,113,629,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2598566308243728,0.3494623655913979,0.0896057347670251,0.3279483037156705,0.6774106693070683,0.12052379161122684,0.23974658219406467,0.3057224880382775,0.3129251700680272
16,20170420LGHH0,20170420,HH,LG,0,B,37,34,2,3,7,1,0,0,1,0,0,0,3,0,0,10,0,0,7,0.222222222,9,2,6,152,592,120,20,5,7,53,8,3,6,15,5,10,2,123,666,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.25675675675675674,0.34290540540540543,0.08614864864864867,0.3246951219512195,0.667600527356625,0.09850834804392126,0.2087362454151384,0.3022484939759036,0.3118279569892473
17,20170421HHKT0,20170421,HH,KT,0,T,37,34,7,7,10,2,0,2,0,0,3,0,0,0,0,4,0,0,3,0.5,8,4,6,162,626,126,22,5,9,53,8,3,6,15,5,13,2,127,703,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.25878594249201275,0.35303514376996803,0.09424920127795527,0.32318840579710145,0.6762235495670694,0.21393090739694584,0.36645548516172055,0.3032453637660485,0.3103448275862069
18,20170422HHKT0,20170422,HH,KT,0,T,44,42,9,9,17,3,0,0,2,0,0,0,2,0,0,7,2,2,8,0.466666667,15,7,14,179,668,140,25,5,9,55,8,3,6,17,7,13,2,134,747,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2679640718562874,0.3607784431137725,0.09281437125748504,0.32970027247956396,0.6904787155933365,0.3406144786322683,0.472379682116261,0.3097798657718121,0.32196969696969696
19,20170423HHKT0,20170423,HH,KT,0,T,56,47,14,14,19,8,0,2,0,0,0,0,7,0,2,10,0,0,15,0.421052632,19,8,9,198,715,149,33,5,11,62,10,3,6,17,7,13,2,144,803,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2769230769230769,0.3832167832167832,0.10629370629370627,0.34177215189873417,0.7249889351155174,0.7293837579813738,0.8306102034011337,0.3241086142322097,0.3321492007104796
20,20170425HHLT0,20170425,HH,LT,0,T,35,31,2,2,6,1,0,1,0,0,1,1,2,0,0,7,0,0,6,0.0,5,0,4,204,746,153,34,5,12,64,10,4,6,17,7,14,2,151,838,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.2734584450402145,0.3806970509383378,0.10723860589812327,0.33737864077669905,0.7180756917150368,0.10386837756152371,0.23841280426808936,0.3204964114832536,0.3270868824531516
21,20170426HHLT0,20170426,HH,LT,0,T,34,31,2,2,7,0,0,1,1,0,1,0,2,0,0,8,1,1,5,0.333333333,6,2,6,211,777,159,34,5,13,66,10,4,6,18,8,15,2,159,872,0.728,0.7559999999999999,0.927,1.259,1.558,1.901,0.27155727155727155,0.3783783783783784,0.10682110682110683,0.3348891481913652,0.7132675265697437,0.10710316630373716,0.22740913637879287,0.31822298850574715,0.3251231527093596
